locality,police_count,industrial_count,highway_count,crime_score
Gachibowli,6,2,0,9.0041
Madhapur,7,3,0,9.0871
Kondapur,8,16,0,8.1743
Banjara Hills,10,1,118,4.8548
Jubilee Hills,4,5,7,8.1328
Hitech City,4,15,32,6.2656
Kukatpally,4,4,42,6.7635
Miyapur,2,16,24,6.1826
Manikonda,1,1,9,7.8838
Nallagandla,2,1,18,7.6763
Tellapur,0,0,0,8.1743
Narsingi,0,1,0,8.0913
Kokapet,1,3,0,8.0913
Financial District,1,3,0,8.0913
Nanakramguda,4,3,0,8.5892
Begumpet,13,6,84,6.3485
Ameerpet,7,3,47,7.1369
SR Nagar,6,8,50,6.4315
Balkampet,7,7,60,6.2656
Moosapet,3,10,49,5.8091
Bowenpally,3,2,46,6.5975
Secunderabad,13,4,55,7.7178
Tarnaka,8,16,7,7.8838
Malkajgiri,4,16,0,7.5104
Uppal,3,9,47,5.9751
Nagole,4,5,70,5.5187
LB Nagar,6,3,94,5.0207
Dilsukhnagar,12,6,99,5.5602
Vanasthalipuram,2,3,75,5.1452
Hayathnagar,1,1,28,7.0954
Sainikpuri,0,0,0,8.1743
Alwal,2,0,8,8.1743
Kompally,0,1,18,7.3444
Medchal,0,0,5,7.9668
Shamirpet,0,0,0,8.1743
Bachupally,0,5,0,7.7593
Nizampet,4,12,34,6.4315
Pragathi Nagar,4,13,33,6.39
Chandanagar,3,4,25,7.3029
Mokila,0,0,0,8.1743
Shankarpally,0,1,0,8.0913
Rajendra Nagar,0,2,31,6.722
Attapur,1,1,63,5.6432
Mehdipatnam,5,0,82,5.6017
Tolichowki,1,1,37,6.722
Masab Tank,12,1,144,4.1079
Khairatabad,15,3,134,4.8548
Somajiguda,13,3,132,4.6058
Punjagutta,10,1,104,5.4357
Himayatnagar,16,8,191,2.2407
Shamshabad,0,1,37,6.556
Adibatla,0,0,0,8.1743
Boduppal,7,8,65,5.9751
Ghatkesar,0,3,34,6.5145
Peerzadiguda,4,7,48,6.2656
Nacharam,5,18,12,7.0124
Habsiguda,6,10,29,7.1369
Moula Ali,2,18,0,7.0124
Charminar,13,1,196,2.1162
Falaknuma,3,1,82,5.1867
Yapral,0,0,0,8.1743
Bandlaguda,2,4,68,5.3527
Kothapet,9,5,96,5.2697
Suchitra,2,2,23,7.3859
ECIL,1,31,0,5.7676
Balanagar,4,11,43,6.1411
Suraram,1,2,0,8.1743
AS Rao Nagar,1,9,0,7.5934
Kapra,1,4,0,8.0083
Amberpet,16,6,105,5.9751
Nampally,16,4,226,1.1203
Abids,17,6,248,0.2075
Himayatsagar,0,1,21,7.2199
Patancheru,2,9,22,6.8465
Isnapur,0,6,8,7.3444
Toopran,0,0,27,7.0539
Sadashivpet,0,0,33,6.805
Zaheerabad,0,0,44,6.3485
Tandur,1,0,8,8.0083
Vikarabad,0,0,0,8.1743
Chevella,0,0,14,7.5934
Ibrahimpatnam,1,0,0,8.3402
Nagaram,0,16,0,6.8465
Dammaiguda,1,5,0,7.9253
Dundigal,2,0,10,8.0913
Quthbullapur,1,7,23,6.805
Jeedimetla,3,3,4,8.2573
Bahadurpura,8,1,131,3.9834
Santoshnagar,17,3,181,3.2365
Karmanghat,4,3,79,5.3112
Saroornagar,7,5,108,4.4398
Meerpet,1,26,0,6.1826
Badangpet,4,3,43,6.805
Balapur,1,1,33,6.888
Turkayamjal,0,1,0,8.0913
Musheerabad,14,7,52,7.7593
RTC X Roads,13,8,121,4.6473
Gandhi Nagar,17,8,126,5.1037
Koti,21,7,264,0.1245
Sultan Bazar,21,7,267,0.0
King Koti,15,8,0,10.0
Troop Bazar,19,3,252,0.6224
Chirag Ali Lane,17,5,235,0.8299
Narayanguda,17,8,208,1.7012
Vidyanagar,11,8,110,4.7718
Domalguda,14,8,157,3.3195
Goshamahal,19,2,244,1.0373
Barkatpura,15,8,192,2.0332
Greenlands,10,1,105,5.3942
Liberty,14,6,169,2.9876
Padmarao Nagar,9,8,35,7.5519
Marredpally,9,0,42,7.9253
West Marredpally,10,0,46,7.9253
Chilkalguda,11,7,41,7.7178
Trimulgherry,4,1,17,8.0498
Tilaknagar,14,8,118,4.9378
Karkhana,4,1,17,8.0498
SD Road,5,3,0,8.7552
Paradise,13,2,53,7.9668
Rasoolpura,15,2,70,7.5934
Bolarum,1,0,6,8.0913
Regimental Bazar,13,2,48,8.1743
Lalapet,4,17,0,7.4274
Ramanthapur,12,5,85,6.2241
Tukaram Gate,8,4,0,9.1701
Mallapur,0,31,0,5.6017
