Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
"Injapur,",Hyderabad,N/A,₹95.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:58
Injapur,Hyderabad,N/A,₹90.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:58
Injapur,Hyderabad,N/A,₹75.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:58
injapur,Hyderabad,N/A,₹68.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:58
Injapur,Hyderabad,N/A,₹69.00 L,N/A,1215 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:58
"Hayathnagar_Khalsa,",Hyderabad,N/A,₹2.50 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:58
Injapur,Hyderabad,N/A,₹80.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:58
Injapur,Hyderabad,N/A,₹1.32 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:58
"Injapur,",Hyderabad,N/A,₹1.35 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:58
"Injapur Road, Neeladri Nagar",Hyderabad,N/A,₹1.45 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:58
Injapur,Hyderabad,N/A,₹70.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:58
Neeladri Nagar,Hyderabad,N/A,₹69.00 L,N/A,1100 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:58
Injapur,Hyderabad,N/A,₹1.20 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:58
Injapur,Hyderabad,N/A,₹1.30 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:58
Injapur,Hyderabad,N/A,₹1.20 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:58
Injapur,Hyderabad,N/A,₹1.60 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:58
Neeladri Nagar,Hyderabad,N/A,₹1.30 Cr,N/A,4563 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:58
Gurram Guda,Hyderabad,N/A,₹1.45 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:58
Injapur,Hyderabad,N/A,₹1.10 Cr,N/A,2100 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:58
Injapur,Hyderabad,N/A,₹72.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:58
Hayathnagar_Khalsa,Hyderabad,N/A,₹85.00 L,N/A,1 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:37:58
Injapur,Hyderabad,N/A,₹1.10 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:58
Injapur,Hyderabad,N/A,₹75.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:58
Injapur,Hyderabad,N/A,₹1.15 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:03
Vanasthalipuram,Hyderabad,N/A,₹92.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:03
Injapur,Hyderabad,N/A,₹100.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:03
Neeladri Nagar,Hyderabad,N/A,₹68.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:03
Neeladri Nagar,Hyderabad,N/A,₹63.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:03
injapur,Hyderabad,N/A,₹1.60 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:03
Apple Avenue injapur,Hyderabad,N/A,₹25.00 L,N/A,570 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:03
Neeladri Nagar,Hyderabad,N/A,₹1.00 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:03
Injapur,Hyderabad,N/A,₹4.80 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:03
Gurram Guda,Hyderabad,N/A,₹2.10 Cr,N/A,1 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:38:03
Injapur,Hyderabad,N/A,₹1.35 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:03
Injapur,Hyderabad,N/A,₹1.50 Cr,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:38:03
Injapur,Hyderabad,N/A,₹1.50 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:03
Neeladri Nagar,Hyderabad,N/A,₹40.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:03
