Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Balapur,Hyderabad,N/A,₹1.90 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:10
Balapur,Hyderabad,N/A,₹2.00 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:10
Balapur,Hyderabad,N/A,₹85.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:10
Balapur,Hyderabad,N/A,₹1.25 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:10
Balapur,Hyderabad,N/A,₹1.10 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:10
BALAPUR,Hyderabad,N/A,₹98.00 L,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:36:10
BALAPUR,Hyderabad,N/A,₹12.50 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:10
Balapur,Hyderabad,N/A,₹50.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:10
Balapur,Hyderabad,N/A,₹1.50 Cr,N/A,111 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:10
Subhodaya Nagar,Hyderabad,N/A,₹1.50 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:10
Balapur,Hyderabad,N/A,₹60.00 L,N/A,1100 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:10
Sai Nagar,Hyderabad,N/A,₹1.15 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:10
madhunagar,Hyderabad,N/A,₹1.25 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:10
Kanchan Bagh,Hyderabad,N/A,₹58.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:10
Kanchan Bagh,Hyderabad,N/A,₹38.00 L,N/A,900 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:10
balapur,Hyderabad,N/A,₹45.00 L,N/A,1100 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:10
Balapur,Hyderabad,N/A,₹35.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:10
Balapur,Hyderabad,N/A,₹30.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:10
Meerpet,Hyderabad,N/A,₹75.00 L,N/A,1100 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:10
Meerpet,Hyderabad,N/A,₹45.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:10
BALAPUR CROSS ROAD,Hyderabad,N/A,₹52.00 L,N/A,900 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:10
Kanchan Bagh,Hyderabad,N/A,₹45.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:10
Kanchan Bagh,Hyderabad,N/A,₹32.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:10
Balapur,Hyderabad,N/A,₹75.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:10
Balapur,Hyderabad,N/A,₹60.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:16
Kanchanbagh,Hyderabad,N/A,₹1.50 Cr,N/A,11 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:16
Edamma Temple,Hyderabad,N/A,₹1.20 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:16
Sai Nagar Colony,Hyderabad,N/A,₹1.05 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:16
Triveni Nagar,Hyderabad,N/A,₹48.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:16
Balapur,Hyderabad,N/A,₹1.10 Cr,N/A,1000 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:16
Meerpet,Hyderabad,N/A,₹72.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:16
Balapur,Hyderabad,N/A,₹42.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:16
Kanchan Bagh,Hyderabad,N/A,₹48.00 L,N/A,1000 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:36:16
"Balapur,",Hyderabad,N/A,₹75.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:16
"Balapur,",Hyderabad,N/A,₹1.20 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:16
Kanchan Bagh,Hyderabad,N/A,₹58.00 L,N/A,1000 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:16
Balapur,Hyderabad,N/A,₹42.00 L,N/A,980 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:16
Balapur,Hyderabad,N/A,₹1.30 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:16
Subhodaya Nagar,Hyderabad,N/A,₹2.30 Cr,N/A,100 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:16
Balapur,Hyderabad,N/A,₹1.45 Cr,N/A,1 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:36:16
BALAPUR CROSS ROAD,Hyderabad,N/A,₹78.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:16
Balapur,Hyderabad,N/A,₹40.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:16
Balapur,Hyderabad,N/A,₹60.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:16
balapur x road,Hyderabad,N/A,₹45.00 L,N/A,540 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:16
Balapur,Hyderabad,N/A,₹24.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:16
