Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Nawab Saheb Kunta,Hyderabad,N/A,₹60.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:45
Nawab Saheb Kunta,Hyderabad,N/A,₹40.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:45
Nawab Saheb Kunta,Hyderabad,N/A,₹1.00 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:45
Nawab Saheb Kunta,Hyderabad,N/A,₹35.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:45
Nawab Saheb Kunta,Hyderabad,N/A,₹22.00 L,N/A,828 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:45
Nawab Saheb Kunta,Hyderabad,N/A,₹15.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:45
Nawab Saheb Kunta,Hyderabad,N/A,₹65.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:45
"Jahanuma, Nawab Saheb Kunta",Hyderabad,N/A,₹50.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:45
Gudi Ka Dawakhana,Hyderabad,N/A,₹55.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:45
Yousufguda,Hyderabad,N/A,₹1.50 Cr,N/A,840 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:45
Nawab Saheb Kunta,Hyderabad,N/A,₹72.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:45
Nawab Saheb Kunta,Hyderabad,N/A,₹18.00 L,N/A,750 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:45
Nawab Saheb Kunta,Hyderabad,N/A,₹20.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:45
Nawab Saheb Kunta,Hyderabad,N/A,₹28.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:45
