Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Balapur,Hyderabad,N/A,₹85.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:16
Balapur,Hyderabad,N/A,₹2.25 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:16
Balapur,Hyderabad,N/A,₹70.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:16
Balapur,Hyderabad,N/A,₹3.00 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:16
Balapur,Hyderabad,N/A,₹95.00 L,N/A,1000 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:16
Balapur,Hyderabad,N/A,₹1.25 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:16
Balapur,Hyderabad,N/A,₹82.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:16
Balapur,Hyderabad,N/A,₹80.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:16
Balapur,Hyderabad,N/A,₹2.80 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:16
"Shivrampalli Village, Sivarampalli",Hyderabad,N/A,₹3.60 Cr,N/A,5000 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:16
Metro City Phase 4,Hyderabad,N/A,₹1.20 Cr,N/A,1800 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:16
Sri Venkateshwara Colony Road balapur,Hyderabad,N/A,₹4.90 Cr,N/A,8100 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:38:16
Mallapur,Hyderabad,N/A,₹1.20 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:16
Balapur,Hyderabad,N/A,₹66.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:16
Mallapur,Hyderabad,GK Rama Saikrishna Nilayam,₹55.18 L,N/A,828 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:16
Mallapur,Hyderabad,N/A,₹1.00 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:16
Mallapur,Hyderabad,N/A,₹1.50 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:16
Sree Balaji township,Hyderabad,N/A,₹1.45 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:16
Balapur,Hyderabad,N/A,₹75.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:16
Balapur,Hyderabad,N/A,₹1.40 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:16
"7GR3+GR, Hyderabad, Balapur, Telangana 500005, India",Hyderabad,N/A,₹90.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:16
balapur,Hyderabad,N/A,₹70.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:16
Balapur,Hyderabad,N/A,₹1.40 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:16
Balapur,Hyderabad,N/A,₹64.00 L,N/A,1100 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:22
Balapur,Hyderabad,N/A,₹1.20 Cr,N/A,1020 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:22
Balapur,Hyderabad,N/A,₹2.40 Cr,N/A,1 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:38:22
"7FVX+P9W, Ganesh Enclave, Mallapur, Hyderabad, Balapur, Telangana 500005, India",Hyderabad,N/A,₹42.00 L,N/A,950 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:38:22
Kurmalguda,Hyderabad,N/A,₹34.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:22
"balapur,Mallapur",Hyderabad,N/A,₹79.50 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:22
"Balapur,",Hyderabad,N/A,₹1.05 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:22
Balapur,Hyderabad,N/A,₹90.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:22
mallapur,Hyderabad,N/A,₹70.00 L,N/A,957 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:22
mallapur,Hyderabad,N/A,₹90.00 L,N/A,1728 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:22
Mallapur,Hyderabad,N/A,₹1.65 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:22
Sree Balaji township,Hyderabad,N/A,₹2.00 Cr,N/A,2547 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:38:22
Balapur,Hyderabad,N/A,₹95.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:22
Balapur,Hyderabad,N/A,₹1.25 Cr,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:38:22
Mallapur,Hyderabad,N/A,₹32.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:22
"Mallapur, phase 2",Hyderabad,N/A,₹71.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:22
