Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Abids,Hyderabad,N/A,₹1.10 Cr,N/A,505 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:12
Gun Foundry,Hyderabad,N/A,₹22.00 Cr,N/A,3500 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:12
Basheer Bagh,Hyderabad,Meenakshi Elysia,₹5.14 Cr,N/A,2589 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:12
Abids,Hyderabad,Jain Amolak Amare,₹2.46 Cr,N/A,1297 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:12
Abids,Hyderabad,N/A,₹1.50 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:12
Abids,Hyderabad,N/A,₹9.00 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:12
Abids,Hyderabad,N/A,₹1.61 Cr,N/A,123 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:12
Abids,Hyderabad,Northstar SP Palacio,₹3.15 Cr,N/A,1418 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:12
Gun Foundry,Hyderabad,N/A,₹6.00 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:12
Basheer Bagh,Hyderabad,N/A,₹46.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:12
Gun foundry,Hyderabad,N/A,₹1.25 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:12
Basheerbagh,Hyderabad,N/A,₹80.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:12
Basheer Bagh,Hyderabad,N/A,₹40.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:12
Basheerbagh,Hyderabad,N/A,₹1.40 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:12
Abids,Hyderabad,N/A,₹1.80 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:12
Abids,Hyderabad,N/A,₹1.25 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:12
Abids,Hyderabad,N/A,₹65.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:12
Nampally,Hyderabad,N/A,₹1.30 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:12
Abids,Hyderabad,N/A,₹8.60 Cr,N/A,7000 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:12
Abids,Hyderabad,N/A,₹35.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:12
Nampally,Hyderabad,N/A,₹1.20 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:12
Abids,Hyderabad,N/A,₹66.00 L,N/A,950 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:12
Kavadiguda,Hyderabad,N/A,₹1.45 Cr,N/A,1130 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:12
Basheerbagh,Hyderabad,N/A,₹2.20 Cr,N/A,1600 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:12
Basheer Bagh,Hyderabad,N/A,₹1.65 Cr,N/A,2500 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:18
chirag ali,Hyderabad,N/A,₹55.00 L,N/A,902 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:18
Basheer Bagh,Hyderabad,N/A,₹90.00 L,N/A,1 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:18
Tukkuguda,Hyderabad,N/A,₹70.00 L,N/A,1000 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:18
Basheer Bagh,Hyderabad,N/A,₹1.45 Cr,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:18
Deccan Towers,Hyderabad,N/A,₹1.00 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:18
Basheer Bagh,Hyderabad,N/A,₹2.60 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:18
Basheer Bagh,Hyderabad,Sahil Noorani Opera Residency,₹1.06 Cr,N/A,1197 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:18
basheerbagh,Hyderabad,N/A,₹1.15 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:18
"Shergate, Basheer Bagh,",Hyderabad,N/A,₹2.70 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:18
Shergate,Hyderabad,N/A,₹35.00 L,N/A,600 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:18
Abids,Hyderabad,N/A,₹75.00 L,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:18
Abids,Hyderabad,N/A,₹95.00 L,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:18
Abids,Hyderabad,N/A,₹2.40 Cr,N/A,1800 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:18
Basheer Bagh,Hyderabad,N/A,₹6.00 Cr,N/A,3655 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:18
