Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
NFC Nagar,Hyderabad,N/A,₹57.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:37
Ghatkesar,Hyderabad,N/A,₹55.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:37
nfc nagar,Hyderabad,N/A,₹4.00 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:37
NFC Nagar Ghatkesar,Hyderabad,N/A,₹2.50 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:37
Ghatkesar,Hyderabad,N/A,₹1.00 Cr,N/A,1200 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:38:37
Ghatkesar,Hyderabad,N/A,₹63.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:37
Ghatkesar,Hyderabad,N/A,₹1.30 Cr,N/A,2300 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:37
Ghatkesar,Hyderabad,N/A,₹59.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:37
Ghatkesar,Hyderabad,N/A,₹47.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:37
Ghatkesar,Hyderabad,N/A,₹45.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:37
KENDRIYA VIDYALAYA NFC NAGAR,Hyderabad,N/A,₹52.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:37
Ghatkesar,Hyderabad,N/A,₹46.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:37
Ghatkesar,Hyderabad,N/A,₹1.10 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:37
Ghatkesar,Hyderabad,N/A,₹50.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:37
Ghatkesar,Hyderabad,N/A,₹70.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:37
"NFC Nagar,",Hyderabad,N/A,₹1.20 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:37
NFC Nagar,Hyderabad,N/A,₹41.00 L,N/A,800 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:37
Bokkoniguda,Hyderabad,N/A,₹80.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:37
Ghatkesar,Hyderabad,N/A,₹2.00 Cr,N/A,1000 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:37
"Ghatkesar,",Hyderabad,N/A,₹68.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:37
Ghatkesar,Hyderabad,N/A,₹55.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:37
NFC Nagar,Hyderabad,N/A,₹50.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:37
Ghatkesar,Hyderabad,N/A,₹75.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:37
Ghatkesar,Hyderabad,N/A,₹72.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:37
NFC Nagar,Hyderabad,N/A,₹62.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:37
Pasumamula,Hyderabad,N/A,₹2.27 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:42
