Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Kanchan Bagh,Hyderabad,N/A,₹45.00 L,N/A,1000 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:38
Champapet,Hyderabad,N/A,₹2.25 Cr,N/A,400 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:38
Champapet,Hyderabad,N/A,₹60.00 L,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:35:38
Champapet,Hyderabad,N/A,₹1.30 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:38
Santosh Nagar,Hyderabad,N/A,₹1.20 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:38
Santosh Nagar,Hyderabad,N/A,₹1.45 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:38
"8-3-1-LE-25, Virat Nagar, Kanchan Bagh, Hyderabad, Telangana 500097, India",Hyderabad,N/A,₹1.80 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:38
Champapet,Hyderabad,N/A,₹2.50 Cr,N/A,1 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:35:38
Santosh Nagar,Hyderabad,N/A,₹2.00 Cr,N/A,400 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:38
"Virat Nagar Colony Park, Virat Nagar, Kanchan Bagh, Hyderabad, Rangareddy, Telangana, India",Hyderabad,N/A,₹1.75 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:38
SVR Ananya,Hyderabad,N/A,₹1.43 Cr,N/A,1800 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:38
Santosh Nagar,Hyderabad,N/A,₹2.70 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:38
"9-7-343, beside AS Arcade, East Maruti Nagar, New Santoshnagar, Kanchan Bagh, Champapet, Hyderabad, Telangana 500059, India",Hyderabad,N/A,₹43.00 L,N/A,900 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:35:38
Champapet,Hyderabad,N/A,₹5.00 Cr,N/A,1 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:35:38
Sai Ram Nagar,Hyderabad,N/A,₹1.41 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:38
Champapet,Hyderabad,N/A,₹3.50 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:38
Champapet,Hyderabad,N/A,₹90.00 L,N/A,1028 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:38
Champapet,Hyderabad,N/A,₹50.00 L,N/A,1000 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:38
Champapet,Hyderabad,N/A,₹1.08 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:38
Champapet,Hyderabad,N/A,₹1.00 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:38
Santosh Nagar,Hyderabad,N/A,₹54.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:38
New Santoshnagar,Hyderabad,N/A,₹65.00 L,N/A,1150 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:38
Kanchanbagh,Hyderabad,N/A,₹45.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:38
Kanchan Bagh,Hyderabad,N/A,₹40.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:38
Kanchan Bagh,Hyderabad,N/A,₹40.00 L,N/A,860 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:35:38
Jillelaguda,Hyderabad,N/A,₹62.00 L,N/A,900 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:44
Santosh Nagar,Hyderabad,N/A,₹2.00 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:44
maruthi nagar,Hyderabad,N/A,₹1.60 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:44
ETERNAL LAKSHMI APARTMENT,Hyderabad,N/A,₹1.05 Cr,N/A,1290 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:44
Champapet,Hyderabad,N/A,₹2.30 Cr,N/A,1 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:35:44
Santosh Nagar,Hyderabad,N/A,₹3.00 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:44
Kanchan Bagh,Hyderabad,N/A,₹2.50 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:44
SVS Krishna Sai Residency,Hyderabad,N/A,₹27.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:44
