Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Chandrayangutta,Hyderabad,N/A,₹45.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:08
", Chandrayangutta,",Hyderabad,N/A,₹75.00 L,N/A,3000 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:08
Yousufguda,Hyderabad,N/A,₹60.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:08
Chandrayangutta,Hyderabad,N/A,₹37.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:08
Chandrayangutta,Hyderabad,N/A,₹25.00 L,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:37:08
Chandrayangutta,Hyderabad,N/A,₹85.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:08
# Ghazi Millat Colony,Hyderabad,N/A,₹65.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:08
Chandrayanagutta,Hyderabad,N/A,₹1.80 Cr,N/A,1000 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:08
Chandrayangutta,Hyderabad,N/A,₹1.45 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:08
Chandrayangutta,Hyderabad,N/A,₹1.50 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:08
Gazimilath Colony,Hyderabad,N/A,₹1.40 Cr,N/A,3000 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:08
Chandrayangutta,Hyderabad,N/A,₹40.00 L,N/A,707 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:08
Al Mujtaba Street,Hyderabad,N/A,₹1.50 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:08
naseeb nagar,Hyderabad,N/A,₹28.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:08
Chandrayangutta,Hyderabad,N/A,₹35.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:08
Chandrayangutta,Hyderabad,N/A,₹30.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:08
Falaknuma,Hyderabad,N/A,₹70.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:08
Chandrayangutta,Hyderabad,N/A,₹29.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:08
Chandrayangutta,Hyderabad,N/A,₹32.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:08
Chandrayangutta,Hyderabad,N/A,₹1.20 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:08
Chandrayangutta,Hyderabad,N/A,₹48.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:08
salara,Hyderabad,N/A,₹25.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:08
Fathima Nagar,Hyderabad,N/A,₹42.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:13
Chandrayangutta,Hyderabad,N/A,₹42.00 L,N/A,2 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:13
Falaknuma,Hyderabad,N/A,₹22.00 L,N/A,2 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:13
Falaknuma,Hyderabad,N/A,₹35.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:13
falaknuma,Hyderabad,N/A,₹19.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:13
Falaknuma,Hyderabad,N/A,₹58.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:13
Chandrayangutta,Hyderabad,N/A,₹27.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:13
Chandrayangutta,Hyderabad,N/A,₹3.15 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:13
Naseeb Nagar,Hyderabad,N/A,₹2.25 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:13
naseeb nagar,Hyderabad,N/A,₹2.50 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:13
Chandrayangutta,Hyderabad,N/A,₹45.00 L,N/A,700 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:13
Naseeb Nagar,Hyderabad,N/A,₹80.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:13
Falaknuma,Hyderabad,N/A,₹1.05 Cr,N/A,1900 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:13
Kanchan Bagh,Hyderabad,N/A,₹1.25 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:13
Chandrayangutta,Hyderabad,N/A,₹43.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:13
Chandrayangutta,Hyderabad,N/A,₹40.00 L,N/A,1000 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:13
Chandrayangutta,Hyderabad,N/A,₹38.50 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:13
Naseeb Nagar,Hyderabad,N/A,₹26.50 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:13
