Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Moghalpura,Hyderabad,N/A,₹4.00 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:27
Moghalpura,Hyderabad,N/A,₹35.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:27
Moghalpura,Hyderabad,N/A,₹71.00 L,N/A,1300 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:27
Moghalpura,Hyderabad,N/A,₹50.00 L,N/A,1000 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:27
Moghalpura,Hyderabad,N/A,₹65.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:27
"Charminar,",Hyderabad,N/A,₹26.00 L,N/A,800 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:27
Moghalpura,Hyderabad,N/A,₹1.40 Cr,N/A,3900 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:27
moghulpura,Hyderabad,N/A,₹48.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:27
Moghalpura,Hyderabad,N/A,₹6.50 Cr,N/A,1431 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:27
Moghalpura,Hyderabad,N/A,₹85.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:27
Bahadurguda,Hyderabad,N/A,₹90.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:27
Moghalpura,Hyderabad,N/A,₹2.50 Cr,N/A,2200 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:27
Shalibanda,Hyderabad,N/A,₹70.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:27
Moghalpura,Hyderabad,N/A,₹8.00 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:27
Charminar,Hyderabad,N/A,₹1.50 Cr,N/A,670 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:37:27
Moghalpura,Hyderabad,N/A,₹70.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:27
Moghalpura,Hyderabad,N/A,₹58.00 L,N/A,1200 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:37:27
Moghalpura,Hyderabad,N/A,₹1.80 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:27
Naseeb Nagar,Hyderabad,N/A,₹60.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:27
Sardar Mahal,Hyderabad,N/A,₹40.00 L,N/A,900 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:27
Shah Ali Banda,Hyderabad,N/A,₹2.30 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:27
