Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Dilsukhnagar,Hyderabad,N/A,₹2.75 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:06
Dilsukhnagar,Hyderabad,N/A,₹40.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:06
"Mella Chervu,",Hyderabad,N/A,₹50.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:06
Gaddanaram,Hyderabad,N/A,₹55.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:06
Dilsukhnagar,Hyderabad,N/A,₹55.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:06
Gaddanaram,Hyderabad,N/A,₹35.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:06
"Dilsukh Nagar Main Road, Durga Nagar, East Prasanth Nagar, Dilsukhnagar, Hyderabad, Telangana 500036, India",Hyderabad,N/A,₹60.00 L,N/A,950 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:06
dilsukhnagar,Hyderabad,N/A,₹32.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:06
Dilsukhnagar,Hyderabad,N/A,₹65.00 L,N/A,1 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:35:06
Dilsukhnagar,Hyderabad,N/A,₹68.00 L,N/A,772 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:06
Dilkushnagar,Hyderabad,N/A,₹5.60 Cr,N/A,11 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:06
Dilkushnagar,Hyderabad,N/A,₹1.00 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:06
Dilsukhnagar,Hyderabad,N/A,₹30.00 L,N/A,1 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:35:06
Dilsukhnagar,Hyderabad,N/A,₹75.00 L,N/A,1100 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:35:06
Dilsukhnagar,Hyderabad,N/A,₹45.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:06
Gaddiannaram,Hyderabad,N/A,₹33.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:06
Dilsukhnagar,Hyderabad,N/A,₹60.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:06
Dilsukhnagar,Hyderabad,N/A,₹35.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:06
Vanasthalipuram,Hyderabad,N/A,₹1.20 Cr,N/A,4 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:06
Swathi Puja Residency,Hyderabad,N/A,₹28.00 L,N/A,700 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:06
Gaddiannaram,Hyderabad,N/A,₹60.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:06
Dilsukhnagar,Hyderabad,N/A,₹40.00 L,N/A,2 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:06
