Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Vattepally,Hyderabad,N/A,₹25.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:34
Vattepally,Hyderabad,N/A,₹26.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:34
Vattepally,Hyderabad,N/A,₹6.00 L,N/A,222 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:34
Falaknuma,Hyderabad,N/A,₹85.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:34
Vattepally,Hyderabad,N/A,₹40.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:34
Vattepally,Hyderabad,N/A,₹52.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:34
Vattepally,Hyderabad,N/A,₹23.00 L,N/A,100 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:34
Vattepally Fatima Nagar Near Ghafforiya Masjid,Hyderabad,N/A,₹45.00 L,N/A,1000 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:34
hashamabad,Hyderabad,N/A,₹36.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:34
Vattepally,Hyderabad,N/A,₹41.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:34
Kings Avenue Colony,Hyderabad,N/A,₹12.75 L,N/A,300 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:34
Chandrayangutta,Hyderabad,N/A,₹42.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:34
Chandrayangutta,Hyderabad,N/A,₹40.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:34
Chandrayangutta,Hyderabad,N/A,₹3.50 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:34
Bandlaguda,Hyderabad,N/A,₹32.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:34
Falaknuma,Hyderabad,N/A,₹70.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:34
Bandlaguda Jagir,Hyderabad,N/A,₹35.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:34
vatteypalli,Hyderabad,N/A,₹25.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:34
Farooq Nagar,Hyderabad,N/A,₹9.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:34
Ballaguda,Hyderabad,N/A,₹59.00 L,N/A,712 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:34
"Bandlaguda Jagir,",Hyderabad,N/A,₹36.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:34
Falaknuma,Hyderabad,N/A,₹95.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:34
Chandrayangutta,Hyderabad,N/A,₹57.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:34
Falaknuma,Hyderabad,N/A,₹26.00 L,N/A,700 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:34
Vattepally,Hyderabad,N/A,₹26.00 L,N/A,936 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:34
Chandrayangutta,Hyderabad,N/A,₹48.00 L,N/A,2160 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:40
Chandrayangutta,Hyderabad,N/A,₹1.70 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:40
Bandlaguda,Hyderabad,N/A,₹1.60 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:40
Bandlaguda Jagir,Hyderabad,N/A,₹48.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:40
Chandrayangutta,Hyderabad,N/A,₹61.00 L,N/A,800 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:40
Karkhana,Hyderabad,N/A,₹24.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:40
Vattapally,Hyderabad,N/A,₹32.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:40
fatima nagar,Hyderabad,N/A,₹36.00 L,N/A,623 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:40
Chandrayangutta,Hyderabad,N/A,₹83.00 L,N/A,125 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:40
Chandrayangutta,Hyderabad,N/A,₹2.30 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:40
Chandrayangutta,Hyderabad,N/A,₹1.95 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:40
Chandrayangutta,Hyderabad,N/A,₹36.50 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:40
bandlaguda,Hyderabad,N/A,₹12.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:40
Bandlaguda,Hyderabad,N/A,₹30.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:40
Chandrayangutta,Hyderabad,N/A,₹1.80 Cr,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:36:40
"Rajiv Gandhi Nagar,",Hyderabad,N/A,₹20.00 L,N/A,400 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:40
Bandlaguda Jagir Rd,Hyderabad,N/A,₹35.00 L,N/A,800 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:40
bandalguda,Hyderabad,N/A,₹31.00 L,N/A,1200 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:40
"Vattepally,",Hyderabad,N/A,₹38.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:40
Farook nager,Hyderabad,N/A,₹15.00 L,N/A,400 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:40
