Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Vansthalipuram.,Hyderabad,N/A,₹95.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:27
Vanasthalipuram,Hyderabad,N/A,₹45.00 L,N/A,1000 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:27
Vanasthalipuram,Hyderabad,N/A,₹1.60 Cr,N/A,700 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:27
Vanasthalipuram,Hyderabad,N/A,₹1.85 Cr,N/A,1000 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:27
Vanasthalipuram,Hyderabad,N/A,₹70.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:27
Vanasthalipuram,Hyderabad,N/A,₹1.50 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:27
Vanasthalipuram,Hyderabad,N/A,₹75.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:27
Sachivalaya Colony,Hyderabad,N/A,₹1.85 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:27
Vanasthalipuram,Hyderabad,N/A,₹1.65 Cr,N/A,1 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:35:27
Vanasthalipuram,Hyderabad,N/A,₹3.50 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:27
Gowthami Nagar Colony,Hyderabad,N/A,₹1.30 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:27
Vanasthalipuram,Hyderabad,N/A,₹42.00 L,N/A,870 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:27
Hayathnagar_Khalsa,Hyderabad,N/A,₹65.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:27
vansthalipuram NGO Colony,Hyderabad,N/A,₹1.40 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:27
