Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Madhapur,Hyderabad,N/A,₹1.30 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:03
Madhapur,Hyderabad,N/A,₹1.50 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:03
Madhapur,Hyderabad,Bhavyas The Eugen,₹3.75 Cr,N/A,1969 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:03
Madhapur,Hyderabad,N/A,₹1.35 Cr,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:34:03
Madhapur,Hyderabad,N/A,₹2.75 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:03
Madhapur,Hyderabad,Greater Infra Sai Sanika,₹98.00 L,N/A,882 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:03
Madhapur,Hyderabad,Greater Infra Sai Sanika,₹81.62 L,N/A,735 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:03
Madhapur,Hyderabad,N/A,₹8.20 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:03
Madhapur,Hyderabad,N/A,₹1.71 Cr,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:34:03
"Madhapur, Telangana, India",Hyderabad,My Home Vipina,₹96.72 L,N/A,835 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:03
Madhapur,Hyderabad,N/A,₹4.10 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:03
Madhapur,Hyderabad,N/A,₹72.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:03
