Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Ibrahimpatnam,Hyderabad,N/A,₹20.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:07
Ibrahimpatnam,Hyderabad,N/A,₹60.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:07
Ibrahimpatnam,Hyderabad,N/A,₹20.25 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:07
Mangalpalle,Hyderabad,N/A,₹4.00 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:07
Mahankhali Nagar,Hyderabad,N/A,₹1.50 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:07
"Road No. 5, Telangana 501510, India",Hyderabad,N/A,₹84.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:07
Bongloor,Hyderabad,N/A,₹1.20 Cr,N/A,2400 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:07
Ibrahimpatnam,Hyderabad,N/A,₹75.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:07
Vastunagar,Hyderabad,N/A,₹1.30 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:07
Ibrahimpatnam,Hyderabad,N/A,₹1.10 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:07
Ibrahimpatnam,Hyderabad,N/A,₹15.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:07
Ibrahimpatnam,Hyderabad,N/A,₹15.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:07
Turkayamjal,Hyderabad,N/A,₹1.70 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:07
Adibatla,Hyderabad,N/A,₹55.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:07
Mangalpalle,Hyderabad,N/A,₹79.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:07
Bongloor,Hyderabad,N/A,₹72.00 L,N/A,1 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:38:07
Mangalpalle,Hyderabad,N/A,₹1.50 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:07
Bongloor X Road,Hyderabad,N/A,₹66.00 L,N/A,1044 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:07
Manneguda,Hyderabad,N/A,₹1.15 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:07
Ibrahimpatnam,Hyderabad,N/A,₹1.00 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:07
Bongloor,Hyderabad,N/A,₹80.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:07
