Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Kukatpally,Hyderabad,N/A,₹85.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:54
Kukatpally,Hyderabad,N/A,₹1.68 Cr,N/A,1 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:54
Kukatpally,Hyderabad,N/A,₹11.00 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:54
Kukatpally,Hyderabad,N/A,₹82.00 L,N/A,1100 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:54
Kukatpally,Hyderabad,N/A,₹1.50 Cr,N/A,1000 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:54
Kukatpally,Hyderabad,N/A,₹22.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:54
Kukatpally,Hyderabad,N/A,₹73.00 L,N/A,850 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:54
Spectra&#39;s Living Stone,Hyderabad,N/A,₹1.40 Cr,N/A,1 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:54
Hydernagar,Hyderabad,SSV Classic Homes,₹90.00 L,N/A,1134 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:54
Kukatpally,Hyderabad,N/A,₹1.70 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:54
Kukatpally,Hyderabad,N/A,₹50.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:54
Kukatpally,Hyderabad,N/A,₹3.00 Cr,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:54
Kukatpally,Hyderabad,N/A,₹70.00 L,N/A,1050 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:54
Nizampet,Hyderabad,N/A,₹90.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:54
Kukatpally,Hyderabad,N/A,₹60.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:54
Kukatpally,Hyderabad,N/A,₹4.00 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:54
