Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Jillalguda,Hyderabad,N/A,₹80.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:00
Dasari Narayana Rao Kala Nagar,Hyderabad,N/A,₹98.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:00
Jillelaguda DNR colony,Hyderabad,N/A,₹54.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:00
Jillalguda,Hyderabad,N/A,₹1.20 Cr,N/A,1 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:36:00
Jillelaguda,Hyderabad,N/A,₹3.10 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:00
Jillelaguda,Hyderabad,N/A,₹32.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:00
Jillalguda,Hyderabad,N/A,₹95.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:00
Jillalguda,Hyderabad,N/A,₹1.25 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:00
Jillalguda,Hyderabad,N/A,₹65.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:00
Jillalguda,Hyderabad,N/A,₹70.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:00
"40, Mithila Nagar, Hyderabad, Meerpet, Telangana 500097, India",Hyderabad,N/A,₹64.00 L,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:36:00
Jillelaguda,Hyderabad,N/A,₹25.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:00
Meerpet,Hyderabad,N/A,₹80.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:00
Jillelguda,Hyderabad,N/A,₹35.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:00
Jillalguda,Hyderabad,N/A,₹50.00 L,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:36:00
jillelguda,Hyderabad,N/A,₹30.00 L,N/A,1 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:36:00
Meerpet,Hyderabad,N/A,₹45.00 L,N/A,200 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:00
Kanchan Bagh,Hyderabad,N/A,₹43.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:00
Kanchan Bagh,Hyderabad,N/A,₹32.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:00
Meerpet,Hyderabad,N/A,₹1.05 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:00
"2/6, Kala Nagar, New Vivek Nagar Colony, Hyderabad, Medbowli, Telangana 500097, India",Hyderabad,N/A,₹3.15 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:00
Meerpet,Hyderabad,N/A,₹40.00 L,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:36:00
"Meerpet,",Hyderabad,N/A,₹28.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:00
Jillalguda,Hyderabad,N/A,₹68.00 L,N/A,1100 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:36:06
Meerpet,Hyderabad,N/A,₹57.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:06
Meerpet,Hyderabad,N/A,₹60.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:06
Meerpet,Hyderabad,N/A,₹2.50 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:06
"Meerpet,",Hyderabad,N/A,₹58.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:06
Meerpet,Hyderabad,N/A,₹66.50 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:06
Jillelguda,Hyderabad,N/A,₹58.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:06
Jillalguda,Hyderabad,N/A,₹3.00 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:06
Meerpet,Hyderabad,N/A,₹1.50 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:06
Meerpet,Hyderabad,N/A,₹68.75 L,N/A,1100 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:36:06
meerpet,Hyderabad,N/A,₹57.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:06
Meerpet,Hyderabad,N/A,₹57.00 L,N/A,1000 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:06
Meerpet,Hyderabad,N/A,₹38.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:06
meerpet,Hyderabad,N/A,₹1.50 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:06
Meerpet,Hyderabad,N/A,₹11.00 L,N/A,500 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:06
Meerpet,Hyderabad,N/A,₹1.52 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:06
