Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Katedhan,Hyderabad,N/A,₹58.50 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:37
Durga Nagar,Hyderabad,N/A,₹65.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:37
Mailardevpally,Hyderabad,Map Raj Ratan Residency,₹85.00 L,N/A,1071 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:37
Mailardevpally,Hyderabad,N/A,₹1.15 Cr,N/A,1350 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:37
Mailardevpally,Hyderabad,N/A,₹66.00 L,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:37:37
Mailardevpally,Hyderabad,N/A,₹1.20 Cr,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:37:37
Rajendra nagar,Hyderabad,Mailika Mukunda,₹73.35 L,N/A,1027 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:37
Katedan,Hyderabad,N/A,₹70.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:37
babul reddy nagar,Hyderabad,N/A,₹80.00 L,N/A,1000 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:37
Katedan,Hyderabad,N/A,₹70.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:37
Katedhan,Hyderabad,N/A,₹55.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:37
Katedhan,Hyderabad,N/A,₹1.40 Cr,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:37:37
durga nagar,Hyderabad,N/A,₹80.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:37
Nawab Saheb Kunta,Hyderabad,N/A,₹63.00 L,N/A,900 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:37
PRAGATI SUPERMARKET,Hyderabad,N/A,₹68.00 L,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:37:37
"Mailardevpally, Rajendranagar",Hyderabad,N/A,₹2.20 Cr,N/A,1350 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:37
Katedan,Hyderabad,N/A,₹67.50 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:37
ganesh nagr,Hyderabad,N/A,₹6.00 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:37
Nawab Saheb Kunta,Hyderabad,N/A,₹51.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:37
Mailardevpally,Hyderabad,N/A,₹85.00 L,N/A,1100 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:37
Nawab Saheb Kunta,Hyderabad,Redwood PMR Heights,₹75.67 L,N/A,724 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:37
Nawab Saheb Kunta,Hyderabad,N/A,₹75.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:37
Kattedan,Hyderabad,N/A,₹1.75 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:37
"Katedhan,",Hyderabad,N/A,₹5.00 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:37
Mailardevpally,Hyderabad,N/A,₹46.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:37
Mailardevpally,Hyderabad,N/A,₹50.00 L,N/A,800 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:43
Rajendra Nagar,Hyderabad,Moksha Satya Residency,₹1.32 Cr,N/A,573 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:43
Mailardevpally,Hyderabad,N/A,₹1.35 Cr,N/A,2800 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:43
mailardevpally,Hyderabad,N/A,₹2.05 Cr,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:37:43
"8-7/11, 8-1-12/23, Telangana NGOS Colony, Hyderabad, Katedhan, Telangana 500077, India",Hyderabad,N/A,₹60.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:43
Nawab Saheb Kunta,Hyderabad,N/A,₹2.55 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:43
Nawab Saheb Kunta,Hyderabad,N/A,₹1.60 Cr,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:37:43
Katedan,Hyderabad,N/A,₹1.05 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:43
TNGOS Colony,Hyderabad,N/A,₹49.00 L,N/A,1100 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:43
TNGOS Colony,Hyderabad,N/A,₹45.00 L,N/A,1100 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:43
Katedhan,Hyderabad,N/A,₹1.50 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:43
Katedhan,Hyderabad,N/A,₹1.90 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:43
Telangana NGOS Colony,Hyderabad,N/A,₹1.75 Cr,N/A,1350 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:43
Mailardevpally,Hyderabad,N/A,₹1.90 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:43
katedhan,Hyderabad,N/A,₹2.00 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:43
Katedhan,Hyderabad,N/A,₹37.00 L,N/A,760 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:43
Mailardevpally,Hyderabad,N/A,₹60.00 L,N/A,900 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:43
Mailardevpally,Hyderabad,N/A,₹70.00 L,N/A,1180 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:43
Mehfil Hotel,Hyderabad,N/A,₹40.00 L,N/A,1100 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:43
Katedan,Hyderabad,N/A,₹60.00 L,N/A,11 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:43
Nawab Saheb Kunta,Hyderabad,N/A,₹1.35 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:43
Mailardevpally,Hyderabad,N/A,₹2.20 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:43
