Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Gachibowli,Hyderabad,N/A,₹2.50 Cr,N/A,1600 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:34:25
Hi Tech City,Hyderabad,N/A,₹2.10 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:25
HITEC City,Hyderabad,Honer Richmont,₹16.97 Cr,N/A,4276 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:25
HITEC City,Hyderabad,N/A,₹2.10 Cr,N/A,1 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:34:25
HITEC City,Hyderabad,Auro The Pearl,₹7.44 Cr,N/A,3339 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:25
HITEC City,Hyderabad,N/A,₹1.80 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:25
HITEC City,Hyderabad,N/A,₹7.61 Cr,N/A,3402 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:25
Gachibowli,Hyderabad,N/A,₹1.20 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:25
Madhapur,Hyderabad,N/A,₹1.10 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:25
Hyderabad,Hyderabad,N/A,₹41.50 L,N/A,250 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:25
Gachibowli,Hyderabad,N/A,₹3.60 Cr,N/A,1883 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:25
Gachibowli,Hyderabad,N/A,₹3.00 Cr,N/A,2680 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:34:25
Gachibowli,Hyderabad,N/A,₹3.75 Cr,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:34:25
