Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Cherlapalli,Hyderabad,N/A,₹66.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:17
Ashok Nagar,Hyderabad,N/A,₹38.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:17
Cherlapalli,Hyderabad,N/A,₹30.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:17
Mallapur,Hyderabad,N/A,₹65.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:17
Ashok Nagar Mallapur,Hyderabad,N/A,₹26.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:17
Cherlapalli,Hyderabad,N/A,₹1.00 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:17
Mallapur,Hyderabad,N/A,₹23.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:17
Mallapur,Hyderabad,N/A,₹35.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:17
Cherlapalli,Hyderabad,N/A,₹1.50 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:17
"8-3, Ashok Nagar, Mallapur, Secunderabad, Telangana 500051, India",Hyderabad,N/A,₹37.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:17
Cherlapalli,Hyderabad,N/A,₹60.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:17
Mallapur,Hyderabad,N/A,₹7.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:17
Marriguda Pochamma Temple,Hyderabad,N/A,₹90.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:17
Marriguda,Hyderabad,N/A,₹80.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:17
Marriguda,Hyderabad,N/A,₹95.00 L,N/A,1000 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:17
Mallapur,Hyderabad,N/A,₹1.20 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:17
Mallapur,Hyderabad,N/A,₹50.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:17
Mallapur,Hyderabad,N/A,₹66.00 L,N/A,1155 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:17
Mallapur,Hyderabad,N/A,₹20.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:17
Mallapur,Hyderabad,N/A,₹1.50 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:17
Mallapur,Hyderabad,N/A,₹72.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:17
Cherlapalli,Hyderabad,N/A,₹75.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:17
Mallapur,Hyderabad,N/A,₹2.10 Cr,N/A,3560 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:17
Mallapur,Hyderabad,N/A,₹52.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:17
Cherlapalli,Hyderabad,N/A,₹1.10 Cr,N/A,100 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:23
Mallapur,Hyderabad,N/A,₹50.00 L,N/A,840 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:23
Mallapur,Hyderabad,N/A,₹85.80 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:23
Mallapur,Hyderabad,N/A,₹70.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:23
Mallapur,Hyderabad,N/A,₹82.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:23
Mallapur,Hyderabad,N/A,₹37.50 L,N/A,700 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:23
"Gulmohar Gardens Apartments, Blocks A to F",Hyderabad,N/A,₹48.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:23
Mallapur,Hyderabad,N/A,₹85.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:23
