Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
New Vivek Nagar Colony,Hyderabad,N/A,₹65.00 L,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:36:22
"Dhatu Nagar,",Hyderabad,N/A,₹90.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:22
Jillalguda,Hyderabad,N/A,₹60.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:22
Jillalguda,Hyderabad,N/A,₹40.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:22
Domino,Hyderabad,N/A,₹1.15 Cr,N/A,720 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:22
Balapur,Hyderabad,N/A,₹45.00 L,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:36:22
Medbowli,Hyderabad,N/A,₹50.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:22
Meerpet,Hyderabad,N/A,₹70.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:22
Kanchan Bagh,Hyderabad,N/A,₹32.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:22
Kanchan Bagh,Hyderabad,N/A,₹43.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:22
Kanchan Bagh,Hyderabad,N/A,₹32.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:22
Kanchanbagh,Hyderabad,N/A,₹55.00 L,N/A,1000 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:22
balapur,Hyderabad,N/A,₹82.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:22
