Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
koti,Hyderabad,N/A,₹1.20 Cr,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:23
Bandlaguda Jagir,Hyderabad,N/A,₹52.00 L,N/A,1130 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:23
Badangpet,Hyderabad,N/A,₹1.13 Cr,N/A,900 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:23
Kukatpally,Hyderabad,N/A,₹2.50 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:23
Boudhanagar Colony,Hyderabad,N/A,₹55.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:23
Hyderabad,Hyderabad,N/A,₹48.00 L,N/A,1150 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:23
Gachibowli,Hyderabad,N/A,₹1.35 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:23
Bandlaguda Jagir,Hyderabad,N/A,₹50.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:23
Hayathnagar_Khalsa,Hyderabad,N/A,₹78.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:23
Kachiguda,Hyderabad,N/A,₹1.05 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:23
Boudha Nagar,Hyderabad,N/A,₹1.00 Cr,N/A,740 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:23
"Secundrabad, Hyderabad.",Hyderabad,N/A,₹65.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:23
Koti,Hyderabad,N/A,₹48.00 L,N/A,800 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:23
Koti,Hyderabad,N/A,₹3.25 Cr,N/A,4000 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:23
Koti,Hyderabad,N/A,₹1.50 Cr,N/A,450 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:23
Champapet,Hyderabad,N/A,₹40.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:23
Kachiguda,Hyderabad,N/A,₹1.70 Cr,N/A,2700 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:23
Jambagh,Hyderabad,N/A,₹2.40 Cr,N/A,1 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:23
Koti,Hyderabad,N/A,₹45.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:23
"Esamiya Bazaar, Koti",Hyderabad,N/A,₹2.00 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:23
Koti,Hyderabad,N/A,₹60.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:23
Kachiguda,Hyderabad,N/A,₹2.20 Cr,N/A,1395 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:28
Esamia Bazar ganesh temple,Hyderabad,N/A,₹1.80 Cr,N/A,3800 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:28
Kutbi Guda,Hyderabad,N/A,₹64.00 L,N/A,100 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:28
Champapet,Hyderabad,N/A,₹2.00 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:28
Koti,Hyderabad,N/A,₹65.00 L,N/A,213 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:28
Sultan Bazar Juction Road,Hyderabad,N/A,₹70.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:28
Kachiguda,Hyderabad,N/A,₹50.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:28
Kachiguda,Hyderabad,N/A,₹90.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:28
Kachiguda,Hyderabad,N/A,₹48.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:28
"Sultan Bazar, Koti",Hyderabad,N/A,₹70.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:28
Sri Sai Sneha Kirana Stores,Hyderabad,N/A,₹70.00 L,N/A,1000 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:28
Navasakunta,Hyderabad,N/A,₹55.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:28
Nimboliadda,Hyderabad,N/A,₹52.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:28
Kachiguda,Hyderabad,N/A,₹59.00 L,N/A,820 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:28
Kompally,Hyderabad,N/A,₹3.20 Cr,N/A,1989 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:28
Hyderabad,Hyderabad,N/A,₹1.10 Cr,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:28
Narsingi,Hyderabad,N/A,₹1.75 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:28
Hyderabad,Hyderabad,N/A,₹90.00 L,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:28
Alkapur Twp,Hyderabad,N/A,₹2.60 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:28
kachiduga,Hyderabad,N/A,₹1.00 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:28
Shiva Temple,Hyderabad,N/A,₹75.00 L,N/A,850 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:28
Kutbi Guda,Hyderabad,N/A,₹70.00 L,N/A,890 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:28
