Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Narayanguda,Hyderabad,N/A,₹3.00 Cr,N/A,2600 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:33
Narayanguda,Hyderabad,N/A,₹3.00 Cr,N/A,1050 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:33
"Narayanguda,",Hyderabad,N/A,₹2.40 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:33
Narayanguda,Hyderabad,N/A,₹3.50 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:33
Narayanguda,Hyderabad,N/A,₹1.95 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:33
BARKATHPURA,Hyderabad,N/A,₹1.74 Cr,N/A,1564 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:33
narayanguda,Hyderabad,N/A,₹40.00 L,N/A,350 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:33
Narayanguda,Hyderabad,N/A,₹1.80 Cr,N/A,1450 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:33
Narayanguda Metro Station,Hyderabad,N/A,₹1.00 Cr,N/A,600 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:33
Hayathnagar_Khalsa,Hyderabad,N/A,₹1.45 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:33
Narayanguda,Hyderabad,N/A,₹52.00 L,N/A,858 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:33
Narayanguda,Hyderabad,N/A,₹60.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:33
Domalguda,Hyderabad,N/A,₹4.00 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:33
Narayanguda,Hyderabad,N/A,₹1.70 Cr,N/A,1900 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:33
Narayanguda,Hyderabad,N/A,₹1.50 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:33
Narayanguda,Hyderabad,N/A,₹45.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:33
Narayanguda,Hyderabad,N/A,₹1.48 Cr,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:33
Imperial Castle,Hyderabad,N/A,₹1.00 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:33
Narayanaguda,Hyderabad,N/A,₹1.20 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:33
Mehdipatnam,Hyderabad,N/A,₹1.05 Cr,N/A,1098 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:33
Narayanguda,Hyderabad,N/A,₹40.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:33
Narayanguda,Hyderabad,N/A,₹90.00 L,N/A,1 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:33
Hyderguda,Hyderabad,N/A,₹50.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:33
Narayanguda,Hyderabad,N/A,₹2.50 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:33
"Bagh Lingampalli, Narayanguda",Hyderabad,N/A,₹70.00 L,N/A,950 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:33
Himayatnagar,Hyderabad,N/A,₹68.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:38
Narayanguda,Hyderabad,N/A,₹1.30 Cr,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:38
"Himayatnagar,",Hyderabad,N/A,₹84.00 L,N/A,1300 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:38
"Ramkoti,",Hyderabad,N/A,₹65.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:38
"Ramkoti,",Hyderabad,N/A,₹40.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:38
Narayanguda,Hyderabad,N/A,₹1.25 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:38
Mallepally Badi Masjid,Hyderabad,N/A,₹46.00 L,N/A,1030 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:38
Narayanguda,Hyderabad,N/A,₹60.00 L,N/A,850 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:38
Narayanguda,Hyderabad,N/A,₹1.40 Cr,N/A,1760 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:38
Narayanguda,Hyderabad,N/A,₹1.05 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:38
Chikkadpally,Hyderabad,N/A,₹1.29 Cr,N/A,1400 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:38
Narayanguda,Hyderabad,N/A,₹90.00 L,N/A,1402 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:38
Himayatnagar,Hyderabad,N/A,₹1.00 Cr,N/A,1300 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:38
Himayatnagar,Hyderabad,N/A,₹70.00 L,N/A,1138 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:38
Himayatnagar,Hyderabad,N/A,₹1.10 Cr,N/A,982 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:38
"Vinayak Nagar, A. S. Rao Nagar",Hyderabad,N/A,₹32.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:38
Himayatnagar,Hyderabad,N/A,₹1.50 Cr,N/A,1750 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:38
Street Number 15,Hyderabad,N/A,₹98.00 L,N/A,300 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:38
Narayanguda,Hyderabad,N/A,₹1.15 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:38
lingampally,Hyderabad,N/A,₹35.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:38
