Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Banjara Hills,Hyderabad,N/A,₹4.20 Cr,N/A,2870 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:34:14
Gachibowli,Hyderabad,N/A,₹2.75 Cr,N/A,2100 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:34:14
"Gachibowli, Hyderabad",Hyderabad,N/A,₹2.50 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:14
Gachibowli,Hyderabad,S and S Green Grace,₹2.40 Cr,N/A,2580 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:14
Makthakousarali,Hyderabad,N/A,₹24.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:14
Nanakaramguda,Hyderabad,N/A,₹2.15 Cr,N/A,1307 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:34:14
Khajaguda,Hyderabad,Vasudeva Bloomfield Elation Villas,₹6.40 Cr,N/A,3200 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:14
Khajaguda,Hyderabad,Vasudeva Bloomfield Elation Villas,₹4.80 Cr,N/A,2100 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:14
Khajaguda,Hyderabad,N/A,₹90.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:14
Gachibowli,Hyderabad,N/A,₹1.75 Cr,N/A,1290 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:34:14
Olympus marketing office,Hyderabad,N/A,₹2.65 Cr,N/A,1411 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:14
Financial District,Hyderabad,N/A,₹2.05 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:14
Financial District,Hyderabad,N/A,₹2.60 Cr,N/A,2 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:34:14
Financial District,Hyderabad,N/A,₹3.40 Cr,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:34:14
Financial District,Hyderabad,N/A,₹1.65 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:14
Financial District,Hyderabad,N/A,₹2.65 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:14
Khajaguda,Hyderabad,Sohini Manhattan,₹5.54 Cr,N/A,3175 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:14
Mokila,Hyderabad,N/A,₹1.50 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:14
Gachibowli,Hyderabad,N/A,₹4.00 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:14
