Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Nawab Saheb Kunta,Hyderabad,N/A,₹1.05 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:45
Katedan,Hyderabad,N/A,₹1.20 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:45
katedhan,Hyderabad,N/A,₹2.00 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:45
Katedhan,Hyderabad,N/A,₹45.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:45
Katedan,Hyderabad,N/A,₹60.00 L,N/A,11 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:45
Katedhan,Hyderabad,N/A,₹2.20 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:45
Kattedan,Hyderabad,N/A,₹1.75 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:45
Aram Gar,Hyderabad,N/A,₹65.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:45
Katedan,Hyderabad,N/A,₹67.50 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:45
"Shivarampally Jagir,",Hyderabad,N/A,₹90.75 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:45
Shivrampalli,Hyderabad,N/A,₹1.15 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:45
Katedan,Hyderabad,N/A,₹70.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:45
Katedan,Hyderabad,N/A,₹70.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:45
babul reddy nagar,Hyderabad,N/A,₹80.00 L,N/A,1000 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:45
Shamshabad,Hyderabad,N/A,₹53.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:45
Mohan Reddy Nagar,Hyderabad,N/A,₹1.75 Cr,N/A,-1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:45
Katedhan,Hyderabad,N/A,₹1.30 Cr,N/A,400 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:45
"Babul Reddy Nagar , Kattedan",Hyderabad,N/A,₹60.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:45
Katedhan,Hyderabad,N/A,₹4.00 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:45
"Katedhan,",Hyderabad,N/A,₹5.00 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:45
Sivarampalli,Hyderabad,N/A,₹95.40 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:45
Bhavani Colony,Hyderabad,N/A,₹78.00 L,N/A,780 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:45
Mailardevpally,Hyderabad,N/A,₹66.00 L,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:34:45
Aramghar,Hyderabad,N/A,₹1.40 Cr,N/A,1500 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:45
Telangana NGOS Colony,Hyderabad,N/A,₹1.75 Cr,N/A,1350 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:45
"Aramghar x road, Piller no:311, 6-3-185/1/B, PV Narasimha Rao Expy, Adarsh Nagar, Hyderabad, Premavathipet, Telangana 500052, India",Hyderabad,N/A,₹50.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:50
Katedhan,Hyderabad,N/A,₹1.70 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:50
Nawab Saheb Kunta,Hyderabad,N/A,₹51.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:50
Nawab Saheb Kunta,Hyderabad,N/A,₹63.00 L,N/A,900 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:50
Mailardevpally,Hyderabad,N/A,₹70.00 L,N/A,1180 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:50
Mailardevpally,Hyderabad,N/A,₹60.00 L,N/A,900 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:50
Mailardevpally,Hyderabad,N/A,₹1.90 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:50
Nawab Saheb Kunta,Hyderabad,N/A,₹1.21 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:50
Serene Vistas,Hyderabad,N/A,₹1.47 Cr,N/A,1600 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:50
Katedan Industrial Area,Hyderabad,N/A,₹1.50 Cr,N/A,1600 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:50
Sri narayana school,Hyderabad,N/A,₹1.20 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:50
Laxmiguda,Hyderabad,N/A,₹53.00 L,N/A,690 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:50
Katedhan,Hyderabad,N/A,₹1.90 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:50
"Rajendranagar mandal,",Hyderabad,N/A,₹1.00 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:50
Katedhan,Hyderabad,N/A,₹1.50 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:50
TNGOS Colony,Hyderabad,N/A,₹49.00 L,N/A,1100 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:50
TNGOS Colony,Hyderabad,N/A,₹45.00 L,N/A,1100 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:50
Katedhan,Hyderabad,N/A,₹58.50 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:50
Mailardevpally,Hyderabad,N/A,₹1.15 Cr,N/A,1350 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:50
Katedhan,Hyderabad,N/A,₹37.00 L,N/A,760 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:50
