Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Kanchan Bagh,Hyderabad,N/A,₹70.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:18
City Enclave,Hyderabad,N/A,₹67.00 L,N/A,1100 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:18
Rakshapuram,Hyderabad,N/A,₹2.00 Cr,N/A,1278 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:18
Santosh Nagar,Hyderabad,N/A,₹80.00 L,N/A,3 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:18
Kanchan Bagh,Hyderabad,N/A,₹1.20 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:18
Kanchan Bagh,Hyderabad,N/A,₹90.00 L,N/A,1200 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:18
Kanchan Bagh,Hyderabad,N/A,₹80.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:18
Kanchan Bagh,Hyderabad,N/A,₹92.00 L,N/A,692 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:18
Riyasat Nagar,Hyderabad,N/A,₹65.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:18
kanchan bagh,Hyderabad,N/A,₹28.00 L,N/A,800 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:18
Rakshapuram,Hyderabad,N/A,₹42.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:18
Rakshapuram,Hyderabad,N/A,₹2.17 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:18
Kanchan Bagh,Hyderabad,N/A,₹60.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:18
"R.N Colony, R.N Colony",Hyderabad,N/A,₹60.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:18
Thumukunta,Hyderabad,N/A,₹3.50 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:18
Rakshapuram,Hyderabad,N/A,₹2.50 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:18
Rakshapuram,Hyderabad,N/A,₹1.50 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:18
Rakshapuram,Hyderabad,N/A,₹52.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:18
Max Extension,Hyderabad,N/A,₹89.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:18
Riyasat Nagar,Hyderabad,N/A,₹1.15 Cr,N/A,100 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:18
Riyasath Nagar,Hyderabad,N/A,₹42.00 L,N/A,920 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:18
"17-1-382/R/9/1/C, 2nd Floor, APSRTC Officers Colony, Bairamalguda Rd, above Nirmala Clinic, Vaishali Nagar, Champapet, Hyderabad, Telangana 500079, India",Hyderabad,N/A,₹44.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:18
Riyasat Nagar,Hyderabad,N/A,₹45.00 L,N/A,100 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:37:18
Riyasat Nagar,Hyderabad,N/A,₹27.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:18
Rakshapuram Colony,Hyderabad,N/A,₹85.00 L,N/A,1000 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:18
Rakshapuram,Hyderabad,N/A,₹40.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:23
