Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Gupesh Nagar,Hyderabad,N/A,₹10.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:49
Karmanghat,Hyderabad,N/A,₹92.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:49
Hastinapuram,Hyderabad,N/A,₹1.26 Cr,N/A,1800 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:49
KHARMANGHAT,Hyderabad,N/A,₹60.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:49
Medbowli,Hyderabad,N/A,₹1.20 Cr,N/A,100 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:49
"************ Madhava Nagar, Hyderabad, Bairamalguda, Telangana 500079, India",Hyderabad,N/A,₹1.50 Cr,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:35:49
Hayathnagar_Khalsa,Hyderabad,N/A,₹75.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:49
Hastinapuram,Hyderabad,N/A,₹1.20 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:49
karmanghat,Hyderabad,N/A,₹64.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:49
Kharmanghat,Hyderabad,N/A,₹1.04 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:49
Kharmanghat,Hyderabad,N/A,₹42.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:49
Janardhan Reddy Nagar,Hyderabad,N/A,₹1.23 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:49
RN AADHVAYA,Hyderabad,N/A,₹65.00 L,N/A,1185 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:49
Jillalguda,Hyderabad,N/A,₹66.92 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:49
Sri Venkata Sai Plaza,Hyderabad,N/A,₹65.00 L,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:35:49
Shakti Nagar,Hyderabad,N/A,₹3.00 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:49
Bhupesh Guptha Nagar,Hyderabad,N/A,₹5.50 Cr,N/A,1000 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:49
ambedkar nagar,Hyderabad,N/A,₹90.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:49
Jillalguda,Hyderabad,N/A,₹1.80 Cr,N/A,134 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:35:49
Bhagya Nagar,Hyderabad,N/A,₹80.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:49
Bairamalguda,Hyderabad,N/A,₹1.60 Cr,N/A,2000 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:49
Karmanghat,Hyderabad,N/A,₹4.50 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:49
Kharmanghat,Hyderabad,N/A,₹65.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:49
Bairamalguda,Hyderabad,N/A,₹76.00 L,N/A,1200 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:49
Jillelguda,Hyderabad,N/A,₹1.95 Cr,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:35:49
Jillelaguda,Hyderabad,N/A,₹52.00 L,N/A,1200 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:49
Kharmanghat,Hyderabad,N/A,₹85.00 L,N/A,1200 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:55
Bairamalguda,Hyderabad,N/A,₹1.36 Cr,N/A,2000 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:55
KHARMANGHAT,Hyderabad,N/A,₹78.00 L,N/A,1126 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:35:55
"P N 115, No 1 Rd, New Gayatri Nagar, Jillalguda, Medbowli, Telangana 500097, India",Hyderabad,N/A,₹1.55 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:55
Medbowli,Hyderabad,N/A,₹61.00 L,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:35:55
Kharmanghat,Hyderabad,N/A,₹1.20 Cr,N/A,1520 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:35:55
L. B. Nagar,Hyderabad,N/A,₹25.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:55
Madhava Nagar,Hyderabad,N/A,₹3.40 Cr,N/A,1700 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:55
Karmanghat,Hyderabad,N/A,₹80.00 L,N/A,1300 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:55
Pindi Pulla Reddy Function Hall,Hyderabad,N/A,₹41.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:55
Karmanghat,Hyderabad,N/A,₹85.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:55
Hastinapuram North,Hyderabad,N/A,₹65.00 L,N/A,1030 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:55
Karmanghat,Hyderabad,N/A,₹80.00 L,N/A,882 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:55
Bairamalguda,Hyderabad,N/A,₹75.00 L,N/A,570 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:55
Hastinapuram,Hyderabad,N/A,₹2.50 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:55
"Jillalguda,",Hyderabad,N/A,₹1.60 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:55
Jillelaguda,Hyderabad,N/A,₹52.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:35:55
Jillalguda,Hyderabad,N/A,₹1.80 Cr,N/A,160 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:55
"8-18-153, Bhupesh Guptha Nagar, Hyderabad, Medbowli, Telangana 500097, India",Hyderabad,N/A,₹30.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:55
Bairamalguda,Hyderabad,N/A,₹1.50 Cr,N/A,1450 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:35:55
Hastinapuram,Hyderabad,N/A,₹2.50 Cr,N/A,2822 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:35:55
Gayatri Nagar,Hyderabad,N/A,₹8.50 Cr,N/A,1 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:35:55
SAGAR RING ROAD,Hyderabad,N/A,₹1.40 Cr,N/A,1200 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:35:55
