Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Shamshabad,Hyderabad,N/A,₹60.00 L,N/A,1435 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:47
Balapur,Hyderabad,N/A,₹1.50 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:47
Narsingi,Hyderabad,N/A,₹2.40 Cr,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:37:47
"Mm enclave, Shamshabad, Mamidpally, Hyderabad, Telangana 501218, India",Hyderabad,N/A,₹32.50 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:47
Shamshabad,Hyderabad,Jalsa Regency,₹1.29 Cr,N/A,2703 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:47
Shamshabad,Hyderabad,Jalsa Regency,₹56.55 L,N/A,1187 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:47
Mamidipally,Hyderabad,N/A,₹35.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:47
Mamidpally,Hyderabad,N/A,₹8.00 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:47
Mamidipally,Hyderabad,N/A,₹45.00 L,N/A,100 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:47
"Shamshabad, Hyderabad, Telangana 501218, India",Hyderabad,Vaishnaoi Southwoods,₹5.85 Cr,N/A,3066 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:47
"Shamshabad, Hyderabad, Telangana 501218, India",Hyderabad,Vaishnaoi Southwoods,₹8.68 Cr,N/A,4752 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:47
Shamshabad,Hyderabad,N/A,₹95.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:47
Shamshabad,Hyderabad,Vaishnaoi Garuda,₹77.72 L,N/A,821 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:47
Shamshabad,Hyderabad,Vaishnaoi Garuda,₹96.04 L,N/A,992 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:47
Mamidipally,Hyderabad,CSK Skyscape,₹78.78 L,N/A,863 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:47
Mamidipally,Hyderabad,CSK Skyscape,₹97.46 L,N/A,1068 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:47
Tukkuguda,Hyderabad,N/A,₹62.42 L,N/A,1236 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:47
Tukkuguda - Airport View Point Road,Hyderabad,N/A,₹58.00 L,N/A,1162 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:47
Airport Road,Hyderabad,N/A,₹28.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:47
Shamshabad,Hyderabad,N/A,₹2.60 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:47
Shamshabad,Hyderabad,N/A,₹2.00 Cr,N/A,400 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:47
Langerguda,Hyderabad,N/A,₹1.20 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:47
Shamshabad,Hyderabad,N/A,₹1.20 Cr,N/A,2400 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:47
Shamshabad,Hyderabad,N/A,₹3.00 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:47
Rajendra Nagar,Hyderabad,N/A,₹3.50 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:47
Rajendranagar mandal,Hyderabad,N/A,₹1.00 Cr,N/A,1349 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:47
Akber Khan Colony,Hyderabad,N/A,₹1.15 Cr,N/A,1393 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:52
Almasguda,Hyderabad,N/A,₹1.95 Cr,N/A,200 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:52
Mamidipally,Hyderabad,Red Rose Valley,₹3.41 Cr,N/A,1953 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:52
Mamidipally,Hyderabad,Red Rose Valley,₹3.30 Cr,N/A,2160 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:52
Mamidipally,Hyderabad,Casagrand Hanford,₹3.20 Cr,N/A,1764 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:52
Mamidpalli,Hyderabad,N/A,₹4.00 Cr,N/A,2327 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:37:52
Sathamrai Village,Hyderabad,Trishala Trilok,₹1.54 Cr,N/A,1386 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:52
Langerguda,Hyderabad,N/A,₹4.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:52
Tukkuguda,Hyderabad,Yashoda Fiora,₹3.38 Cr,N/A,2708 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:52
Shamshabad,Hyderabad,N/A,₹1.60 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:52
Shamshabad,Hyderabad,N/A,₹1.80 Cr,N/A,4680 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:37:52
Old Shamshabad,Hyderabad,N/A,₹1.60 Cr,N/A,1080 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:52
Shamshabad,Hyderabad,N/A,₹27.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:52
Shamshabad,Hyderabad,N/A,₹1.30 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:52
Shamshabad,Hyderabad,N/A,₹1.75 Cr,N/A,1900 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:52
