Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
"Banjara Hills,",Hyderabad,N/A,₹80.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:35
First Lancer,Hyderabad,N/A,₹75.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:35
Banjara Hills,Hyderabad,N/A,₹1.80 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:35
Bnjarahills,Hyderabad,N/A,₹1.70 Cr,N/A,1500 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:35
Banjara Hills,Hyderabad,N/A,₹1.10 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:35
Banjara Hills,Hyderabad,N/A,₹1.14 Cr,N/A,1100 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:35
Banjara Hills,Hyderabad,N/A,₹30.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:35
Banjara Hills,Hyderabad,N/A,₹4.80 Cr,N/A,1 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:34:35
Banjara Hills,Hyderabad,N/A,₹1.30 Cr,N/A,90 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:35
Kompally,Hyderabad,N/A,₹98.00 L,N/A,1520 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:35
Banjara Hills,Hyderabad,N/A,₹2.60 Cr,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:34:35
Masab Tank,Hyderabad,N/A,₹65.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:35
Banjara Hills,Hyderabad,N/A,₹1.70 Cr,N/A,2500 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:35
Banjara Hills,Hyderabad,N/A,₹6.00 Cr,N/A,3700 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:34:35
Banjara Hills,Hyderabad,N/A,₹30.00 L,N/A,637 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:35
Sri Ram Nagar Colony,Hyderabad,N/A,₹40.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:35
Ahmed Nagar,Hyderabad,N/A,₹1.40 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:35
Banjara Hills,Hyderabad,N/A,₹70.00 L,N/A,950 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:35
Banjara Hills,Hyderabad,N/A,₹95.00 L,N/A,846 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:35
Banjara Hills,Hyderabad,N/A,₹1.10 Cr,N/A,1330 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:35
Banjara Hills,Hyderabad,N/A,₹1.25 Cr,N/A,800 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:35
", Ahmed Nagar,",Hyderabad,N/A,₹21.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:35
Ahmed Nagar,Hyderabad,N/A,₹25.00 L,N/A,3 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:35
Banjara Hills,Hyderabad,N/A,₹2.40 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:35
"Banjara Hills,",Hyderabad,N/A,₹1.10 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:35
Banjara Hills,Hyderabad,N/A,₹80.00 L,N/A,720 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:35
Banjara Hills,Hyderabad,N/A,₹82.00 L,N/A,1250 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:34:40
Banjara Hills,Hyderabad,N/A,₹2.50 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:40
Masab tank,Hyderabad,N/A,₹82.00 L,N/A,1292 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:34:40
Lakshmi Nivas,Hyderabad,N/A,₹1.20 Cr,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:34:40
Banjara Hills,Hyderabad,N/A,₹55.00 L,N/A,1100 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:40
Masab Tank,Hyderabad,N/A,₹1.82 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:40
Masab tank,Hyderabad,N/A,₹14.56 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:40
Banjara Hills,Hyderabad,N/A,₹50.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:40
Banjara Hills,Hyderabad,N/A,₹68.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:40
Banjara Hills,Hyderabad,N/A,₹1.00 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:40
Masab Tank,Hyderabad,N/A,₹2.50 Cr,N/A,1800 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:40
Banjara Hills,Hyderabad,N/A,₹1.50 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:40
Banjara Hills,Hyderabad,N/A,₹4.10 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:40
Banjara Hills,Hyderabad,N/A,₹6.50 Cr,N/A,6500 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:34:40
Banjarahills,Hyderabad,N/A,₹2.30 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:40
Mehdipatnam,Hyderabad,N/A,₹48.00 L,N/A,470 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:40
"8-2-686/1, NBT Nagar, Banjara Hills, Hyderabad, Telangana 500028, India",Hyderabad,N/A,₹8.00 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:40
