Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
"FG3V+74C, Vishnupuri Extn, Sri Rama Nagar, Malkajgiri, Secunderabad, Telangana 500047, India",Hyderabad,N/A,₹73.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:43
Malkajgiri,Hyderabad,N/A,₹48.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:43
Malkajgiri,Hyderabad,N/A,₹48.00 L,N/A,939 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:43
Malkajgiri,Hyderabad,N/A,₹42.00 L,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:43
Malkajgiri,Hyderabad,N/A,₹1.20 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:43
Moula Ali,Hyderabad,N/A,₹2.50 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:43
cifil colony,Hyderabad,N/A,₹87.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:43
Malkajgiri,Hyderabad,N/A,₹1.50 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:43
Moula Ali,Hyderabad,N/A,₹3.00 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:43
anandhbagh,Hyderabad,N/A,₹3.00 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:43
Malkajgiri,Hyderabad,N/A,₹1.40 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:43
Moula Ali,Hyderabad,N/A,₹60.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:43
Malkajgiri,Hyderabad,N/A,₹40.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:33:43
Malkajgiri,Hyderabad,N/A,₹75.00 L,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:33:43
Malkajgiri,Hyderabad,N/A,₹1.25 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:33:43
