Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Rampally,Hyderabad,N/A,₹37.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:26
Rampally,Hyderabad,N/A,₹40.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:26
Rampally,Hyderabad,N/A,₹55.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:26
Rampally,Hyderabad,N/A,₹34.00 L,N/A,1000 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:26
"Suchitra colony, Old Rampally Village Main, Rampally, Secunderabad, Telangana 501302, India",Hyderabad,N/A,₹1.30 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:26
Suchitra,Hyderabad,N/A,₹1.50 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:26
Rampally,Hyderabad,N/A,₹75.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:26
Rampally,Hyderabad,N/A,₹68.00 L,N/A,1157 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:26
Rampally,Hyderabad,N/A,₹1.40 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:26
Rampally,Hyderabad,N/A,₹95.00 L,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:38:26
Rampally,Hyderabad,N/A,₹85.00 L,N/A,105 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:26
Rampally iris school,Hyderabad,N/A,₹1.60 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:26
"FJ9P+CR4, Rampally Main Rd, Rampally, Secunderabad, Telangana 501302, India",Hyderabad,N/A,₹78.00 L,N/A,300 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:26
keesara mandal,Hyderabad,N/A,₹79.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:26
rampally,Hyderabad,N/A,₹69.50 L,N/A,1 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:38:26
Rampally,Hyderabad,N/A,₹1.15 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:26
Rampally,Hyderabad,N/A,₹75.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:26
Rampally,Hyderabad,N/A,₹70.00 L,N/A,935 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:26
Rampally,Hyderabad,N/A,₹1.50 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:26
Rampally,Hyderabad,N/A,₹1.30 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:26
Rampally X Road,Hyderabad,N/A,₹1.35 Cr,N/A,1400 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:26
Rampally,Hyderabad,N/A,₹80.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:26
Nagaram,Hyderabad,N/A,₹47.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:26
Nagaram,Hyderabad,N/A,₹4.00 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:26
Rampally,Hyderabad,N/A,₹1.06 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:26
Rampally X Road,Hyderabad,N/A,₹98.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:32
rampally,Hyderabad,N/A,₹98.00 L,N/A,1050 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:32
Secunderabad,Hyderabad,N/A,₹74.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:32
Rampally,Hyderabad,N/A,₹98.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:32
Rampally,Hyderabad,N/A,₹76.90 L,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:38:32
Rampally,Hyderabad,N/A,₹1.10 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:32
"Rampally,",Hyderabad,N/A,₹1.20 Cr,N/A,3300 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:32
Rampally,Hyderabad,N/A,₹75.00 L,N/A,1125 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:32
Amberpet,Hyderabad,N/A,₹43.00 L,N/A,430 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:32
Rampally,Hyderabad,N/A,₹60.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:32
Rampally,Hyderabad,N/A,₹66.00 L,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:38:32
Rampally,Hyderabad,N/A,₹76.00 L,N/A,850 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:32
Rampally,Hyderabad,N/A,₹1.15 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:32
Rampally,Hyderabad,N/A,₹75.00 L,N/A,1399 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:38:32
Rampally,Hyderabad,N/A,₹85.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:32
Rampally,Hyderabad,N/A,₹76.00 L,N/A,1100 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:32
Secunderabad,Hyderabad,N/A,₹65.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:32
Sheshadri Nagar,Hyderabad,N/A,₹78.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:32
Rampally,Hyderabad,N/A,₹2.50 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:38:32
Rampally,Hyderabad,N/A,₹90.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:38:32
