Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
"Nawab Saheb Kunta,",Hyderabad,N/A,₹86.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:55
Nawab Saheb Kunta,Hyderabad,N/A,₹1.90 Cr,N/A,150 sqft,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:34:55
Shastripuram,Hyderabad,N/A,₹84.00 L,N/A,230 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:55
Nawab Saheb Kunta,Hyderabad,N/A,₹60.00 L,N/A,1800 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:55
Nawab Saheb Kunta,Hyderabad,N/A,₹24.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:55
Nawab Saheb Kunta,Hyderabad,N/A,₹61.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:55
Nawab Saheb Kunta,Hyderabad,N/A,₹47.00 L,N/A,1300 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:55
"Rizwan Colony, Shastripuram Colony, Nawab Saheb Kunta",Hyderabad,N/A,₹75.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:55
Nawab Saheb Kunta,Hyderabad,N/A,₹1.10 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:55
"************** Mustafa Nagar, Nawab Saheb Kunta, Hyderabad, Telangana 500052, India",Hyderabad,N/A,₹55.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:55
Shastripuram,Hyderabad,N/A,₹62.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:55
shastripuram,Hyderabad,N/A,₹57.00 L,N/A,800 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:55
Nawab Saheb Kunta,Hyderabad,N/A,₹2.00 Cr,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:34:55
owaisi palace road shashthripuram,Hyderabad,N/A,₹1.80 Cr,N/A,N/A,N/A,N/A,BUY,FULLY_FURNISHED,nobroker.in,2026-02-25 15:34:55
Nawab Saheb Kunta,Hyderabad,N/A,₹50.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:55
Nawab Saheb Kunta,Hyderabad,N/A,₹35.00 L,N/A,1000 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:34:55
