Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Edi Bazaar,Hyderabad,N/A,₹80.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:57
Edi Bazaar,Hyderabad,N/A,₹30.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:57
Jyothi Bagh,Hyderabad,N/A,₹70.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:57
edi bazaar west,Hyderabad,N/A,₹45.00 L,N/A,693 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:57
Edi Bazaar,Hyderabad,N/A,₹59.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:57
New Baba Nagar,Hyderabad,N/A,₹27.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:57
Edi Bazaar,Hyderabad,N/A,₹60.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:57
Santosh Nagar,Hyderabad,N/A,₹90.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:57
Edi Bazaar,Hyderabad,N/A,₹46.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:57
Edi Bazaar,Hyderabad,N/A,₹42.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:57
Edi Bazaar,Hyderabad,N/A,₹65.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:57
Edi Bazaar,Hyderabad,N/A,₹2.00 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:57
"Edi Bazaar,",Hyderabad,N/A,₹45.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:57
Edi Bazar West,Hyderabad,N/A,₹1.00 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:57
Moinabad,Hyderabad,N/A,₹2.50 Cr,N/A,1449 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:57
Santosh Nagar,Hyderabad,N/A,₹50.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:57
Hasnabad,Hyderabad,N/A,₹35.00 L,N/A,50 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:57
rein bazaar,Hyderabad,N/A,₹1.70 Cr,N/A,3200 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:57
Edi Bazaar,Hyderabad,N/A,₹75.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:57
Yakutpura,Hyderabad,N/A,₹1.10 Cr,N/A,1890 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:57
Edi Bazaar,Hyderabad,N/A,₹56.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:57
"Edi Bazaar,",Hyderabad,N/A,₹2.75 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:57
Edi Bazaar,Hyderabad,N/A,₹55.00 L,N/A,1 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:36:57
Santosh Nagar,Hyderabad,N/A,₹1.60 Cr,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:36:57
Santosh Nagar,Hyderabad,N/A,₹47.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:02
Santosh Nagar,Hyderabad,N/A,₹28.50 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:02
Santosh Nagar,Hyderabad,N/A,₹1.35 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:02
"Ramachandra Nagar,",Hyderabad,N/A,₹45.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:02
"Santosh Nagar - Sayeedabad Road, Vinayak Nagar Colony",Hyderabad,N/A,₹60.00 L,N/A,1100 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:02
Uppuguda,Hyderabad,N/A,₹65.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:02
Band Naka Road,Hyderabad,N/A,₹42.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:02
Lalitha Bagh,Hyderabad,N/A,₹95.00 L,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:02
Santosh Nagar,Hyderabad,N/A,₹55.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:02
hasnabad,Hyderabad,N/A,₹60.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:02
Rein Bazaar,Hyderabad,N/A,₹50.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:02
Santosh Nagar,Hyderabad,N/A,₹1.80 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:02
Nehru Nagar,Hyderabad,N/A,₹1.00 Cr,N/A,3500 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:02
Bada Bazar,Hyderabad,N/A,₹32.00 L,N/A,1035 sqft,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:02
", Santosh Nagar",Hyderabad,N/A,₹85.00 L,N/A,1 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:02
Edi Bazaar,Hyderabad,N/A,₹32.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:02
"Moin Bagh,",Hyderabad,N/A,₹1.90 Cr,N/A,N/A,N/A,N/A,BUY,SEMI_FURNISHED,nobroker.in,2026-02-25 15:37:02
Madannapet,Hyderabad,N/A,₹1.50 Cr,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:02
Edi Bazaar,Hyderabad,N/A,₹40.00 L,N/A,1300 sqft,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:02
Santosh Nagar,Hyderabad,N/A,₹85.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:02
Yakutpura,Hyderabad,N/A,₹80.00 L,N/A,N/A,N/A,N/A,BUY,NOT_FURNISHED,nobroker.in,2026-02-25 15:37:02
