Locality,City,Project Name,Price (INR),Area (SqFt),Price/SqFt,BHK,Bathrooms,Property Type,Furnishing,Source,Scraped At
Abids,Hyderabad,"4 BHK Flat for Sale in Abids, Hyderabad",43099999.99999999,3385.0,12732.64401772526,3,4,Apartment,,,
Abids,Hyderabad,3 BHK 2025 Sq. Ft. Apartment,24100000.0,2025.0,11901.23456790123,3,3,Apartment,,,
Abids,Hyderabad,3 BHK 1868 Sq. Ft. Apartment,21000000.0,1868.0,11241.97002141328,3,3,Apartment,,,
Abids,Hyderabad,4 BHK 2530 Sq. Ft. Apartment,28500000.0,2530.0,11264.82213438735,4,3,Apartment,,,
Abids,Hyderabad,4 BHK 2635 Sq. Ft. Apartment,31500000.0,2635.0,11954.45920303605,4,4,Apartment,,,
"Abids, Hyderabad",Hyderabad,"3 BHK Flat for Sale in Abids, Hyderabad",6300000.0,1038.0,6069.364161849711,2,2,Apartment,,,
"Abids, Hyderabad",Hyderabad,"Showroom for Sale in Abids, Hyderabad",48700000.0,2865.0,16998.25479930192,6,4,Apartment,,,
Abids,Hyderabad,3 BHK 2125 Sq. Ft. Apartment,25360000.0,2125.0,11934.11764705882,3,3,Apartment,,,
Abids,Hyderabad,4 BHK 3500 Sq. Ft. Apartment,63180000.0,3500.0,18051.42857142857,4,5,Apartment,,,
Abids,Hyderabad,,28393436.88031823,2082.34965034965,13635.28784685638,3,3,Apartment,,,
"Abids, Hyderabad",Hyderabad,"Showroom for Sale in Abids, Hyderabad",32400000.0,2025.0,16000.0,3,4,Apartment,,,
"Abids, Hyderabad",Hyderabad,"3 BHK Flat for Sale in Abids, Hyderabad",21800000.0,1716.0,12703.9627039627,3,3,Apartment,,,
"Abids, Hyderabad",Hyderabad,"Showroom for Sale in Abids, Hyderabad",54400000.00000001,3200.0,17000.0,4,5,Apartment,,,
"Abids, Hyderabad",Hyderabad,"4 BHK Flat for Sale in Abids, Hyderabad",17500000.0,2640.0,6628.787878787879,5,4,Apartment,,,
"Abids, Hyderabad",Hyderabad,"4 BHK Flat for Sale in Abids, Hyderabad",42800000.0,3361.0,12734.3052662898,3,4,Apartment,,,
"Abids, Hyderabad",Hyderabad,"3 BHK Flat for Sale in Abids, Hyderabad",16500000.0,2640.0,6250.0,5,3,Apartment,,,
"Abids, Hyderabad",Hyderabad,"Office Space for Sale in Abids, Hyderabad",222800000.0,7240.0,58011.04972375691,5,5,Apartment,,,
"Abids, Hyderabad",Hyderabad,"4 BHK House for Sale in Abids, Hyderabad",70000000.0,306.0,228758.1699346405,5,4,House,,,
"Abids, Hyderabad",Hyderabad,"3 BHK Flat for Sale in Abids, Hyderabad",31300000.0,2458.0,12733.93002441009,3,3,Apartment,,,
"Abids, Hyderabad",Hyderabad,"4 BHK Flat for Sale in Abids, Hyderabad",51600000.0,4050.0,12740.74074074074,3,4,Apartment,,,
"Abids, Hyderabad",Hyderabad,"3 BHK Flat for Sale in Abids, Hyderabad",25300000.0,1985.0,12745.5919395466,3,3,Apartment,,,
"Abids, Hyderabad",Hyderabad,"3 BHK Flat for Sale in Abids, Hyderabad",26700000.0,2100.0,12714.28571428571,3,3,Apartment,,,
"Abids, Hyderabad",Hyderabad,"Plot for Sale in Abids, Hyderabad",124500000.0,415.0,295051.2315086969,2,3,Apartment,,,
"Abids, Hyderabad",Hyderabad,"2 BHK Flat for Sale in Abids, Hyderabad",6100000.0,1100.0,5545.454545454545,2,2,Apartment,,,
"Abids, Hyderabad",Hyderabad,"4 BHK House for Sale in Abids, Hyderabad",16000000.0,2640.0,6060.606060606061,5,4,House,,,
Abids,Hyderabad,"4 BHK Flat for Sale in Gun Foundry, Hyderabad",70000000.0,4446.0,15744.48942869996,5,4,Apartment,,,
