locality,construction_count,road_construction_count,commercial_count,metro_proximity_score,it_proximity_score,growth_score
Gachibowli,4,16,106,8.3538,9.7455,4.4073
Madhapur,41,18,246,9.838,9.3766,10.0
Kondapur,15,18,250,8.9995,9.196,9.53
Banjara Hills,0,8,39,9.2614,6.5863,1.8413
Jubilee Hills,39,12,192,9.7499,8.2895,7.9836
Hitech City,43,13,149,9.7109,8.9254,6.6665
Kukatpally,1,9,33,8.6041,7.3998,1.6883
Miyapur,3,3,16,9.7232,7.8758,1.0643
Manikonda,5,8,15,8.5496,7.5349,1.1535
Nallagandla,11,7,8,7.5362,7.2372,1.0012
Tellapur,8,27,6,6.41,7.3924,1.2925
Narsingi,12,4,16,7.4094,7.0424,1.2176
Kokapet,10,3,57,6.9162,7.7813,2.5312
Financial District,10,3,57,6.9162,7.7813,2.5312
Nanakramguda,15,7,64,7.5474,8.8282,3.0047
Begumpet,0,8,31,9.8224,5.8766,1.5697
Ameerpet,0,8,29,9.9921,6.5901,1.5224
SR Nagar,0,8,25,9.6091,6.8304,1.385
Balkampet,0,8,24,9.7588,6.5443,1.3484
Moosapet,39,10,57,9.1109,7.8751,3.3873
Bowenpally,0,2,3,9.3239,4.8313,0.4619
Secunderabad,0,1,23,9.7435,3.8154,1.097
Tarnaka,3,0,8,9.0717,1.8181,0.5789
Malkajgiri,0,1,5,8.3449,1.9645,0.4206
Uppal,7,3,10,9.8579,0.299,0.7861
Nagole,1,3,13,9.0425,0.0,0.7277
LB Nagar,0,6,11,8.8428,0.0,0.7008
Dilsukhnagar,0,5,14,8.8436,1.3751,0.8099
Vanasthalipuram,1,6,5,8.1537,0.0,0.5066
Hayathnagar,1,1,7,6.2343,0.0,0.4189
Sainikpuri,0,5,4,6.4244,1.3941,0.4208
Alwal,0,3,0,7.2609,2.8468,0.2931
Kompally,0,14,1,5.6392,1.887,0.5149
Medchal,0,9,0,0.5182,0.0,0.2128
Shamirpet,0,0,0,1.0813,0.0,0.0242
Bachupally,0,3,3,7.6198,5.7078,0.4657
Nizampet,0,6,33,8.8325,7.398,1.6039
Pragathi Nagar,0,4,33,8.3238,6.8013,1.5345
Chandanagar,13,9,12,9.0161,8.0666,1.2764
Mokila,0,0,0,0.7649,1.3699,0.0477
Shankarpally,0,0,0,0.0,0.0,0.0
Rajendra Nagar,0,19,2,4.7207,3.0103,0.6648
Attapur,0,7,3,7.3277,4.8963,0.5305
Mehdipatnam,0,8,15,8.3364,5.9433,1.0013
Tolichowki,0,7,13,8.2843,6.9766,0.9338
Masab Tank,0,5,34,9.3366,5.6441,1.5872
Khairatabad,0,6,46,9.7716,5.4794,2.0181
Somajiguda,0,10,47,9.6305,5.882,2.1469
Punjagutta,0,9,44,9.9037,6.2716,2.0387
Himayatnagar,0,4,24,9.0356,3.9673,1.1852
Shamshabad,0,0,0,1.4028,0.2286,0.0365
Adibatla,0,0,1,3.9896,0.0,0.1228
Boduppal,2,3,9,9.2739,1.4815,0.6542
Ghatkesar,0,1,1,2.847,0.0,0.1196
Peerzadiguda,7,3,5,8.9535,0.0,0.5915
Nacharam,6,3,8,8.7982,1.0371,0.6895
Habsiguda,7,1,10,9.6205,1.4337,0.7615
Moula Ali,0,1,3,7.2039,0.8697,0.3035
Charminar,0,1,10,9.0608,3.1598,0.631
Falaknuma,0,2,1,7.9585,1.9371,0.2995
Yapral,0,5,3,5.9591,1.2546,0.3737
Bandlaguda,1,2,9,8.6243,0.0,0.5618
Kothapet,1,3,13,8.4227,0.74,0.7304
Suchitra,0,6,0,7.8131,4.0297,0.399
ECIL,0,0,2,6.5179,0.0,0.2128
Balanagar,28,5,24,8.7219,7.5672,1.9071
Suraram,1,3,4,6.3169,4.92,0.4749
AS Rao Nagar,0,5,4,6.5934,1.0678,0.4173
Kapra,0,5,4,6.0877,0.4942,0.3931
Amberpet,0,4,5,8.5645,2.4187,0.5027
Nampally,0,4,33,9.772,4.4675,1.5147
Abids,0,4,25,9.9373,4.0689,1.2412
Himayatsagar,0,0,0,4.3254,3.459,0.1741
Patancheru,0,2,1,5.3883,3.9986,0.2882
Isnapur,0,21,0,1.6298,0.4557,0.5162
Toopran,0,0,0,0.0,0.0,0.0
Sadashivpet,0,0,0,0.0,0.0,0.0
Zaheerabad,0,0,0,0.0,0.0,0.0
Tandur,0,1,0,0.0,0.0,0.0224
Vikarabad,0,0,0,0.0,0.0,0.0
Chevella,0,0,0,0.0,0.0,0.0
Ibrahimpatnam,0,0,0,0.1039,0.0,0.0023
Nagaram,0,0,3,4.2122,0.0,0.1948
Dammaiguda,0,4,4,4.7099,0.0,0.3289
Dundigal,0,4,0,7.1955,2.9341,0.3159
Quthbullapur,0,6,0,7.9877,5.2524,0.4302
Jeedimetla,0,3,0,6.5381,4.9531,0.324
Bahadurpura,0,0,7,8.1845,3.681,0.5001
Santoshnagar,0,5,15,9.8745,2.3109,0.8874
Karmanghat,0,3,8,9.768,0.0858,0.5557
Saroornagar,0,5,12,8.6506,0.4713,0.7183
Meerpet,0,4,2,7.0783,0.1242,0.3176
Badangpet,0,4,7,9.7644,0.4345,0.5523
Balapur,0,1,0,7.8749,0.0,0.1984
Turkayamjal,1,0,0,6.0255,0.0,0.1571
Musheerabad,0,3,25,9.0505,3.7504,1.1918
RTC X Roads,0,5,17,8.5505,3.6177,0.9541
Gandhi Nagar,0,3,30,8.7541,4.0659,1.36
Koti,0,4,24,9.6996,3.6358,1.1926
Sultan Bazar,0,3,25,9.4883,3.5629,1.1974
King Koti,0,4,31,9.5887,3.9653,1.4323
Troop Bazar,0,4,24,9.5688,4.1253,1.2006
Chirag Ali Lane,0,5,26,9.8991,4.2215,1.2996
Narayanguda,0,5,24,9.1819,3.8064,1.2072
Vidyanagar,0,4,9,8.5397,2.8829,0.6467
Domalguda,0,3,32,9.0768,4.2111,1.4375
Goshamahal,0,4,25,9.4806,4.1122,1.2319
Barkatpura,0,5,18,8.8745,3.2658,0.987
Greenlands,0,9,41,9.7271,6.1067,1.9305
Liberty,0,6,41,9.535,4.6127,1.8257
Padmarao Nagar,0,1,22,9.5547,3.3257,1.0483
Marredpally,0,1,18,9.2797,3.662,0.9155
West Marredpally,0,1,18,9.281,3.8104,0.9188
Chilkalguda,0,1,22,9.8748,3.4569,1.0584
Trimulgherry,0,1,3,8.122,3.2359,0.377
Tilaknagar,0,4,7,8.5457,2.8057,0.5781
Karkhana,0,1,4,8.0836,3.1929,0.4087
SD Road,15,11,82,7.9983,9.0435,3.7128
Paradise,0,1,25,9.2401,4.567,1.1696
Rasoolpura,0,4,37,9.3938,5.282,1.6586
Bolarum,0,11,0,5.7847,1.8087,0.4158
Regimental Bazar,0,1,22,9.8649,3.8469,1.0669
Lalapet,6,0,6,8.6314,1.6759,0.5659
Ramanthapur,2,3,14,8.8171,1.2445,0.8064
Tukaram Gate,0,1,11,9.1727,2.7253,0.6574
Mallapur,5,3,2,7.5709,0.0,0.4153
