locality,lat,lng,metro_distance_km,it_hub_distance_km,hospital_count,school_count,mall_count,park_count,road_density,amenity_score,connectivity_score,police_count,industrial_count,crime_score,construction_count,road_construction_count,commercial_count,metro_proximity_score,it_proximity_score,growth_score
Gachibowli,17.443622,78.351964,3.2924,0.5089,11,2,18,48,554,1.54,1.1901,6,2,9.0041,4,16,106,8.3538,9.7455,4.4073
Madhapur,17.440892,78.39163,0.324,1.2468,20,24,18,38,1649,1.9493,3.5424,7,3,9.0871,41,18,246,9.838,9.3766,10.0
Kondapur,17.458791,78.373056,2.0009,1.6079,31,12,35,46,1538,2.4172,3.304,8,16,8.1743,15,18,250,8.9995,9.196,9.53
Banjara Hills,17.417746,78.439901,1.4771,6.8274,78,11,27,44,1900,3.1189,4.0816,10,1,4.8548,0,8,39,9.2614,6.5863,1.8413
Jubilee Hills,17.430836,78.410288,0.5002,3.421,30,21,12,54,839,2.2807,1.8024,4,5,8.1328,39,12,192,9.7499,8.2895,7.9836
Hitech City,17.469728,78.385241,0.5782,2.1492,21,4,20,46,1139,1.7739,2.4468,4,15,6.2656,43,13,149,9.7109,8.9254,6.6665
Kukatpally,17.493084,78.405441,2.7918,5.2005,77,25,46,44,2434,3.7427,5.2288,4,4,6.7635,1,9,33,8.6041,7.3998,1.6883
Miyapur,17.498161,78.356763,0.5536,4.2484,19,20,15,42,2354,1.8713,5.0569,2,16,6.1826,3,3,16,9.7232,7.8758,1.0643
Manikonda,17.399995,78.386169,2.9008,4.9302,8,12,19,32,3332,1.384,7.1579,1,1,7.8838,5,8,15,8.5496,7.5349,1.1535
Nallagandla,17.477483,78.306036,4.9275,5.5255,16,17,12,34,1120,1.54,2.406,2,1,7.6763,11,7,8,7.5362,7.2372,1.0012
Tellapur,17.450321,78.300918,7.18,5.2153,0,5,3,13,752,0.4094,1.6155,0,0,8.1743,8,27,6,6.41,7.3924,1.2925
Narsingi,17.387417,78.356624,5.1811,5.9152,3,5,3,8,1693,0.3704,3.6369,0,1,8.0913,12,4,16,7.4094,7.0424,1.2176
Kokapet,17.404254,78.330521,6.1677,4.4373,2,5,2,4,416,0.2534,0.8937,1,3,8.0913,10,3,57,6.9162,7.7813,2.5312
Financial District,17.404254,78.330521,6.1677,4.4373,2,5,2,4,416,0.2534,0.8937,1,3,8.0913,10,3,57,6.9162,7.7813,2.5312
Nanakramguda,17.42178,78.337978,4.9051,2.3436,2,5,3,15,294,0.4873,0.6316,4,3,8.5892,15,7,64,7.5474,8.8282,3.0047
Begumpet,17.446195,78.463016,0.3553,8.2467,48,17,26,69,1195,3.1189,2.5671,13,6,6.3485,0,8,31,9.8224,5.8766,1.5697
Ameerpet,17.437501,78.448251,0.0159,6.8198,91,26,44,148,2290,6.0234,4.9194,7,3,7.1369,0,8,29,9.9921,6.5901,1.5224
SR Nagar,17.445231,78.444912,0.7817,6.3391,72,30,32,167,2926,5.8674,6.2857,6,8,6.4315,0,8,25,9.6091,6.8304,1.385
Balkampet,17.446923,78.450451,0.4824,6.9114,70,27,33,155,2852,5.5556,6.1267,7,7,6.2656,0,8,24,9.7588,6.5443,1.3484
Moosapet,17.468531,78.42067,1.7782,4.2498,24,15,14,29,1973,1.5984,4.2385,3,10,5.8091,39,10,57,9.1109,7.8751,3.3873
Bowenpally,17.475537,78.479228,1.3521,10.3374,16,19,11,11,3160,1.1111,6.7884,3,2,6.5975,0,2,3,9.3239,4.8313,0.4619
Secunderabad,17.433725,78.500683,0.513,12.3692,54,24,14,78,3394,3.3138,7.2911,13,4,7.7178,0,1,23,9.7435,3.8154,1.097
Tarnaka,17.428548,78.537943,1.8566,16.3638,31,12,11,25,1758,1.54,3.7766,8,16,7.8838,3,0,8,9.0717,1.8181,0.5789
Malkajgiri,17.451176,78.5369,3.3103,16.0709,20,11,7,4,3962,0.8187,8.5113,4,16,7.5104,0,1,5,8.3449,1.9645,0.4206
Uppal,17.402509,78.561256,0.2842,19.402,18,18,24,8,3013,1.3255,6.4726,3,9,5.9751,7,3,10,9.8579,0.299,0.7861
Nagole,17.377531,78.560123,1.915,20.2314,17,4,19,20,2691,1.1696,5.7809,4,5,5.5187,1,3,13,9.0425,0.0,0.7277
LB Nagar,17.350162,78.551094,2.3145,20.8166,46,6,31,38,3236,2.3587,6.9517,6,3,5.0207,0,6,11,8.8428,0.0,0.7008
Dilsukhnagar,17.368431,78.523428,2.3128,17.2497,50,22,23,69,3555,3.1969,7.6369,12,6,5.5602,0,5,14,8.8436,1.3751,0.8099
Vanasthalipuram,17.330318,78.568278,3.6927,23.5556,34,7,20,38,3692,1.9298,7.9313,2,3,5.1452,1,6,5,8.1537,0.0,0.5066
Hayathnagar,17.328115,78.60454,7.5314,26.9374,5,6,5,17,2968,0.6433,6.3759,1,1,7.0954,1,1,7,6.2343,0.0,0.4189
Sainikpuri,17.489215,78.542489,7.1512,17.2118,16,8,16,32,2651,1.4035,5.695,0,0,8.1743,0,5,4,6.4244,1.3941,0.4208
Alwal,17.502229,78.508858,5.4782,14.3065,9,2,3,4,3504,0.3509,7.5274,2,0,8.1743,0,3,0,7.2609,2.8468,0.2931
Kompally,17.535487,78.509698,8.7216,16.226,0,3,0,3,1806,0.117,3.8797,0,1,7.3444,0,14,1,5.6392,1.887,0.5149
Medchal,17.633993,78.484315,18.9636,22.9508,2,0,0,0,2846,0.039,6.1139,0,0,7.9668,0,9,0,0.5182,0.0,0.2128
Shamirpet,17.594267,78.574388,17.8375,25.6416,0,0,0,0,1145,0.0,2.4597,0,0,8.1743,0,0,0,1.0813,0.0,0.0242
Bachupally,17.536648,78.364474,4.7603,8.5844,4,11,2,16,753,0.6433,1.6176,0,5,7.7593,0,3,3,7.6198,5.7078,0.4657
Nizampet,17.496293,78.395016,2.335,5.204,77,23,44,49,2856,3.7622,6.1353,4,12,6.4315,0,6,33,8.8325,7.398,1.6039
Pragathi Nagar,17.507022,78.396092,3.3525,6.3974,61,22,42,42,2409,3.2554,5.1751,4,13,6.39,0,4,33,8.3238,6.8013,1.5345
Chandanagar,17.487298,78.332214,1.9678,3.8668,38,22,18,30,2603,2.1053,5.5918,3,4,7.3029,13,9,12,9.0161,8.0666,1.2764
Mokila,17.434797,78.186294,18.4702,17.2602,0,0,0,1,348,0.0195,0.7476,0,0,8.1743,0,0,0,0.7649,1.3699,0.0477
Shankarpally,17.456729,78.131015,23.4226,23.1868,1,1,0,0,729,0.039,1.5661,0,1,8.0913,0,0,0,0.0,0.0,0.0
Rajendra Nagar,17.320031,78.40201,10.5585,13.9793,3,3,0,5,590,0.2144,1.2675,0,2,6.722,0,19,2,4.7207,3.0103,0.6648
Attapur,17.367224,78.430728,5.3445,10.2075,20,15,9,31,2864,1.462,6.1525,1,1,5.6432,0,7,3,7.3277,4.8963,0.5305
Mehdipatnam,17.394263,78.434251,3.3271,8.1134,49,15,16,59,1503,2.7096,3.2288,5,0,5.6017,0,8,15,8.3364,5.9433,1.0013
Tolichowki,17.40029,78.411805,3.4315,6.0468,24,9,9,59,3486,1.9688,7.4887,1,1,6.722,0,7,13,8.2843,6.9766,0.9338
Masab Tank,17.402962,78.450754,1.3268,8.7119,71,19,23,66,2590,3.4893,5.5639,12,1,4.1079,0,5,34,9.3366,5.6441,1.5872
Khairatabad,17.412974,78.461058,0.4567,9.0412,84,15,22,78,1951,3.8791,4.1912,15,3,4.8548,0,6,46,9.7716,5.4794,2.0181
Somajiguda,17.425505,78.45852,0.7389,8.236,77,19,33,72,1340,3.9181,2.8786,13,3,4.6058,0,10,47,9.6305,5.882,2.1469
Punjagutta,17.428696,78.451907,0.1927,7.4567,89,24,45,86,1758,4.7563,3.7766,10,1,5.4357,0,9,44,9.9037,6.2716,2.0387
Himayatnagar,17.403982,78.488194,1.9289,12.0653,86,44,23,73,2463,4.4055,5.2911,16,8,2.2407,0,4,24,9.0356,3.9673,1.1852
Shamshabad,17.265472,78.369702,17.1944,19.5429,2,0,0,0,1344,0.039,2.8872,0,1,6.556,0,0,0,1.4028,0.2286,0.0365
