locality,lat,lng,metro_distance_km,it_hub_distance_km,hospital_count,school_count,mall_count,park_count,road_density,amenity_score,connectivity_score
Gachibowli,17.443622,78.351964,3.2924,0.5089,11,2,18,48,554,1.54,1.1901
Madhapur,17.440892,78.39163,0.324,1.2468,20,24,18,38,1649,1.9493,3.5424
Kondapur,17.458791,78.373056,2.0009,1.6079,31,12,35,46,1538,2.4172,3.304
Banjara Hills,17.417746,78.439901,1.4771,6.8274,78,11,27,44,1900,3.1189,4.0816
Jubilee Hills,17.430836,78.410288,0.5002,3.421,30,21,12,54,839,2.2807,1.8024
Hitech City,17.469728,78.385241,0.5782,2.1492,21,4,20,46,1139,1.7739,2.4468
Kukatpally,17.493084,78.405441,2.7918,5.2005,77,25,46,44,2434,3.7427,5.2288
Miyapur,17.498161,78.356763,0.5536,4.2484,19,20,15,42,2354,1.8713,5.0569
Manikonda,17.399995,78.386169,2.9008,4.9302,8,12,19,32,3332,1.384,7.1579
Nallagandla,17.477483,78.306036,4.9275,5.5255,16,17,12,34,1120,1.54,2.406
Tellapur,17.450321,78.300918,7.18,5.2153,0,5,3,13,752,0.4094,1.6155
Narsingi,17.387417,78.356624,5.1811,5.9152,3,5,3,8,1693,0.3704,3.6369
Kokapet,17.404254,78.330521,6.1677,4.4373,2,5,2,4,416,0.2534,0.8937
Financial District,17.404254,78.330521,6.1677,4.4373,2,5,2,4,416,0.2534,0.8937
Nanakramguda,17.42178,78.337978,4.9051,2.3436,2,5,3,15,294,0.4873,0.6316
Begumpet,17.446195,78.463016,0.3553,8.2467,48,17,26,69,1195,3.1189,2.5671
Ameerpet,17.437501,78.448251,0.0159,6.8198,91,26,44,148,2290,6.0234,4.9194
SR Nagar,17.445231,78.444912,0.7817,6.3391,72,30,32,167,2926,5.8674,6.2857
Balkampet,17.446923,78.450451,0.4824,6.9114,70,27,33,155,2852,5.5556,6.1267
Moosapet,17.468531,78.42067,1.7782,4.2498,24,15,14,29,1973,1.5984,4.2385
Bowenpally,17.475537,78.479228,1.3521,10.3374,16,19,11,11,3160,1.1111,6.7884
Secunderabad,17.433725,78.500683,0.513,12.3692,54,24,14,78,3394,3.3138,7.2911
Tarnaka,17.428548,78.537943,1.8566,16.3638,31,12,11,25,1758,1.54,3.7766
Malkajgiri,17.451176,78.5369,3.3103,16.0709,20,11,7,4,3962,0.8187,8.5113
Uppal,17.402509,78.561256,0.2842,19.402,18,18,24,8,3013,1.3255,6.4726
Nagole,17.377531,78.560123,1.915,20.2314,17,4,19,20,2691,1.1696,5.7809
LB Nagar,17.350162,78.551094,2.3145,20.8166,46,6,31,38,3236,2.3587,6.9517
Dilsukhnagar,17.368431,78.523428,2.3128,17.2497,50,22,23,69,3555,3.1969,7.6369
Vanasthalipuram,17.330318,78.568278,3.6927,23.5556,34,7,20,38,3692,1.9298,7.9313
Hayathnagar,17.328115,78.60454,7.5314,26.9374,5,6,5,17,2968,0.6433,6.3759
Sainikpuri,17.489215,78.542489,7.1512,17.2118,16,8,16,32,2651,1.4035,5.695
Alwal,17.502229,78.508858,5.4782,14.3065,9,2,3,4,3504,0.3509,7.5274
Kompally,17.535487,78.509698,8.7216,16.226,0,3,0,3,1806,0.117,3.8797
Medchal,17.633993,78.484315,18.9636,22.9508,2,0,0,0,2846,0.039,6.1139
Shamirpet,17.594267,78.574388,17.8375,25.6416,0,0,0,0,1145,0.0,2.4597
Bachupally,17.536648,78.364474,4.7603,8.5844,4,11,2,16,753,0.6433,1.6176
Nizampet,17.496293,78.395016,2.335,5.204,77,23,44,49,2856,3.7622,6.1353
Pragathi Nagar,17.507022,78.396092,3.3525,6.3974,61,22,42,42,2409,3.2554,5.1751
Chandanagar,17.487298,78.332214,1.9678,3.8668,38,22,18,30,2603,2.1053,5.5918
Mokila,17.434797,78.186294,18.4702,17.2602,0,0,0,1,348,0.0195,0.7476
Shankarpally,17.456729,78.131015,23.4226,23.1868,1,1,0,0,729,0.039,1.5661
Rajendra Nagar,17.320031,78.40201,10.5585,13.9793,3,3,0,5,590,0.2144,1.2675
Attapur,17.367224,78.430728,5.3445,10.2075,20,15,9,31,2864,1.462,6.1525
Mehdipatnam,17.394263,78.434251,3.3271,8.1134,49,15,16,59,1503,2.7096,3.2288
Tolichowki,17.40029,78.411805,3.4315,6.0468,24,9,9,59,3486,1.9688,7.4887
Masab Tank,17.402962,78.450754,1.3268,8.7119,71,19,23,66,2590,3.4893,5.5639
Khairatabad,17.412974,78.461058,0.4567,9.0412,84,15,22,78,1951,3.8791,4.1912
Somajiguda,17.425505,78.45852,0.7389,8.236,77,19,33,72,1340,3.9181,2.8786
Punjagutta,17.428696,78.451907,0.1927,7.4567,89,24,45,86,1758,4.7563,3.7766
Himayatnagar,17.403982,78.488194,1.9289,12.0653,86,44,23,73,2463,4.4055,5.2911
Shamshabad,17.265472,78.369702,17.1944,19.5429,2,0,0,0,1344,0.039,2.8872
Adibatla,17.230899,78.5559,12.0208,30.309,2,1,0,1,262,0.078,0.5628
Boduppal,17.398841,78.536622,1.4521,17.0371,22,12,14,14,2386,1.2086,5.1257
Ghatkesar,17.451084,78.684302,14.306,31.7068,1,5,1,4,2352,0.2144,5.0526
Peerzadiguda,17.401358,78.58157,2.093,21.5146,20,17,16,5,1701,1.1306,3.6541
Nacharam,17.428494,78.55281,2.4036,17.9258,22,19,9,15,2304,1.2671,4.9495
Habsiguda,17.415476,78.542692,0.7589,17.1326,26,17,22,25,1016,1.7544,2.1826
Moula Ali,17.46171,78.55714,5.5923,18.2605,28,8,8,11,3267,1.0721,7.0183
Charminar,17.361602,78.474642,1.8784,13.6804,30,4,2,33,3139,1.345,6.7433
Falaknuma,17.33266,78.475198,4.0829,16.1258,11,9,2,10,3980,0.6238,8.5499
Yapral,17.503054,78.540798,8.0819,17.4909,6,5,4,27,2891,0.8187,6.2105
Bandlaguda,17.371488,78.572727,2.7513,21.7262,9,4,5,29,2756,0.9162,5.9205
Kothapet,17.375376,78.541242,3.1546,18.5201,51,17,29,19,2781,2.2612,5.9742
Suchitra,17.502341,78.483936,4.3738,11.9407,7,4,4,2,489,0.3314,1.0505
ECIL,17.463714,78.576156,6.9642,20.2883,21,7,3,8,588,0.7602,1.2632
Balanagar,17.476822,78.421965,2.5561,4.8656,17,13,15,13,2291,1.1306,4.9216
Suraram,17.536095,78.418639,7.3662,10.1599,6,8,1,6,1048,0.4094,2.2513
AS Rao Nagar,17.479869,78.550965,6.8131,17.8644,30,8,19,26,3533,1.6179,7.5897
Kapra,17.484636,78.561009,7.8247,19.0115,24,8,15,32,3152,1.54,6.7712
Amberpet,17.386178,78.511471,2.871,15.1626,71,20,19,67,3083,3.4503,6.623
