Locality,BHK,Bathrooms,Area (SqFt),Rent (INR/month),Rent/SqFt,Property Type,Furnishing,City,Source
Bhagyalaxmi Nagar,3.0,2.0,1800.0,34000.0,18.88888888888889,Independent House,Furnished,Hyderabad,Real
Gachibowli,3.0,2.0,2500.0,45000.0,18.0,Apartment,Semi-Furnished,Hyderabad,Real
Moosapet,3.0,,2160.0,40000.0,18.51851851851852,Apartment,Furnished,Hyderabad,Real
Raghavendra Colony kondapur,3.0,2.0,1580.0,23000.0,14.556962025316455,Apartment,Semi-Furnished,Hyderabad,Real
Banjara Darwaja,3.0,2.0,2600.0,50000.0,19.23076923076923,Apartment,Furnished,Hyderabad,Real
Mohans Sai Signature,3.0,1.0,1350.0,32000.0,23.703703703703702,Apartment,Semi-Furnished,Hyderabad,Real
Somajiguda,3.0,2.0,1700.0,35000.0,20.58823529411765,Apartment,Furnished,Hyderabad,Real
Kapra,3.0,1.0,1150.0,11000.0,9.565217391304348,Apartment,Unfurnished,Hyderabad,Real
Tilak Nagar,3.0,2.0,1330.0,19000.0,14.285714285714286,Apartment,Semi-Furnished,Hyderabad,Real
Neknampur,3.0,1.0,1836.0,30000.0,16.33986928104575,Apartment,Unfurnished,Hyderabad,Real
Mayuri Nagar,3.0,2.0,1540.0,18000.0,11.688311688311689,Apartment,Semi-Furnished,Hyderabad,Real
Accurate Wind Chimes,3.0,1.0,1720.0,30000.0,17.441860465116278,Apartment,Semi-Furnished,Hyderabad,Real
Hyder Nagar,3.0,2.0,1950.0,31000.0,15.897435897435898,Apartment,Semi-Furnished,Hyderabad,Real
Vajras Jasmine County,3.0,3.0,2075.0,49000.0,23.6144578313253,Apartment,Semi-Furnished,Hyderabad,Real
Tirumala Gardens,3.0,2.0,2500.0,38000.0,15.2,Apartment,Semi-Furnished,Hyderabad,Real
Paragon Venkatadri Apartments,2.0,3.0,1080.0,18000.0,16.666666666666668,Apartment,Semi-Furnished,Hyderabad,Real
Meenakshi Homes,3.0,2.0,1500.0,26000.0,17.333333333333332,Apartment,Semi-Furnished,Hyderabad,Real
Papulguda,3.0,3.0,2150.0,25000.0,11.627906976744185,Apartment,Semi-Furnished,Hyderabad,Real
Bachupally,2.0,1.0,1350.0,12000.0,8.88888888888889,Apartment,Furnished,Hyderabad,Real
Nanakram Guda,3.0,1.0,1198.0,34000.0,28.380634390651085,Apartment,Semi-Furnished,Hyderabad,Real
L&T Serene County,3.0,1.0,2100.0,39000.0,18.571428571428573,Apartment,Semi-Furnished,Hyderabad,Real
SM Plaza,3.0,1.0,1875.0,37000.0,19.733333333333334,Independent House,Unfurnished,Hyderabad,Real
Chatta Bazaar,3.0,,1200.0,13000.0,10.833333333333334,Apartment,Unfurnished,Hyderabad,Real
Lodha Meridian,2.0,2.0,1296.0,35000.0,27.006172839506174,Apartment,Semi-Furnished,Hyderabad,Real
Hitech City,2.0,,1100.0,45000.0,40.90909090909091,Independent House,Furnished,Hyderabad,Real
Banjara Hills,3.0,2.0,2000.0,38000.0,19.0,Apartment,Semi-Furnished,Hyderabad,Real
Gachibowli,3.0,2.0,2020.0,45000.0,22.277227722772277,Apartment,Furnished,Hyderabad,Real
Mehindipatnam,2.0,1.0,1200.0,35000.0,29.166666666666668,Apartment,Furnished,Hyderabad,Real
YMCA Circle,3.0,2.0,1640.0,35000.0,21.341463414634145,Apartment,Unfurnished,Hyderabad,Real
Vajras Jasmine County,3.0,3.0,1870.0,40000.0,21.390374331550802,Apartment,Semi-Furnished,Hyderabad,Real
Jubilee Hills,3.0,2.0,1600.0,25000.0,15.625,Apartment,Semi-Furnished,Hyderabad,Real
Kondapur,3.0,1.0,1650.0,25000.0,15.151515151515152,Independent House,Semi-Furnished,Hyderabad,Real
Kondapur,2.0,2.0,1260.0,19000.0,15.079365079365079,Apartment,Unfurnished,Hyderabad,Real
Golf View,3.0,2.0,1920.0,35000.0,18.229166666666668,Apartment,Semi-Furnished,Hyderabad,Real
Devan Devdi,3.0,1.0,1250.0,18000.0,14.4,Apartment,Unfurnished,Hyderabad,Real
Lodha Casa Paradiso,3.0,2.0,1818.0,40000.0,22.002200220022,Apartment,Semi-Furnished,Hyderabad,Real
Srila Park Pride,3.0,2.0,2130.0,24000.0,11.267605633802816,Apartment,Semi-Furnished,Hyderabad,Real
Gudi Malkapur,3.0,1.0,1800.0,35000.0,19.444444444444443,Independent House,Unfurnished,Hyderabad,Real
Bachupally,3.0,2.0,1555.0,30000.0,19.292604501607716,Apartment,Furnished,Hyderabad,Real
KPHB,2.0,2.0,1200.0,16000.0,13.333333333333334,Apartment,Semi-Furnished,Hyderabad,Real
Dullapally,3.0,2.0,1600.0,20000.0,12.5,Independent House,Semi-Furnished,Hyderabad,Real
VSR Celestial Towers,2.0,2.0,1296.0,12000.0,9.25925925925926,Apartment,Unfurnished,Hyderabad,Real
Jeedimetla,3.0,2.0,2072.0,28000.0,13.513513513513514,Apartment,Semi-Furnished,Hyderabad,Real
Vasanth Nagar Colony,3.0,3.0,1460.0,17000.0,11.643835616438356,Apartment,Unfurnished,Hyderabad,Real
Nallagandla,3.0,,1900.0,45000.0,23.68421052631579,Apartment,Semi-Furnished,Hyderabad,Real
Brindavan Colony-Toli Chowki,2.0,1.0,950.0,15500.0,16.31578947368421,Apartment,Unfurnished,Hyderabad,Real
West Marredpally,2.0,1.0,1100.0,16000.0,14.545454545454545,Apartment,Furnished,Hyderabad,Real
PBEL City,2.0,1.0,1563.0,20000.0,12.795905310300704,Apartment,Semi-Furnished,Hyderabad,Real
Aditya Empress Towers,3.0,2.0,1990.0,36000.0,18.09045226130653,Apartment,Unfurnished,Hyderabad,Real
Prestige Ivy League,3.0,2.0,2051.0,45000.0,21.940516821062896,Apartment,Unfurnished,Hyderabad,Real
Upparpally,3.0,1.0,1260.0,20000.0,15.873015873015873,Apartment,Semi-Furnished,Hyderabad,Real
Gangaram,2.0,2.0,1075.0,15000.0,13.953488372093023,Apartment,Unfurnished,Hyderabad,Real
Srinivas Nagar,3.0,3.0,2100.0,30000.0,14.285714285714286,Apartment,Semi-Furnished,Hyderabad,Real
Vasanth Nagar Colony,3.0,2.0,2000.0,35000.0,17.5,Apartment,Unfurnished,Hyderabad,Real
Madhapur,3.0,1.0,1600.0,36000.0,22.5,Apartment,Semi-Furnished,Hyderabad,Real
Annojiguda,3.0,1.0,1360.0,13000.0,9.558823529411764,Apartment,Unfurnished,Hyderabad,Real
Neknampur,3.0,1.0,2025.0,35000.0,17.28395061728395,Apartment,Semi-Furnished,Hyderabad,Real
NGRI,3.0,3.0,1860.0,22000.0,11.827956989247312,Apartment,Semi-Furnished,Hyderabad,Real
Chandanagar,3.0,2.0,1500.0,25000.0,16.666666666666668,Apartment,Semi-Furnished,Hyderabad,Real
Samatha Nagar,2.0,2.0,1160.0,30000.0,25.862068965517242,Apartment,Unfurnished,Hyderabad,Real
Bandlaguda Jagir,3.0,2.0,1400.0,17500.0,12.5,Apartment,Unfurnished,Hyderabad,Real
Jains Carlton Creek,3.0,1.0,1380.0,44000.0,31.884057971014492,Apartment,Furnished,Hyderabad,Real
Kukatpally,3.0,,1800.0,24000.0,13.333333333333334,Apartment,Semi-Furnished,Hyderabad,Real
Aditya Imperial Heights,3.0,2.0,2000.0,43000.0,21.5,Apartment,Furnished,Hyderabad,Real
Nallagandla,3.0,2.0,1800.0,35000.0,19.444444444444443,Apartment,Furnished,Hyderabad,Real
Gajularamaram,3.0,1.0,1620.0,25000.0,15.432098765432098,Apartment,Semi-Furnished,Hyderabad,Real
Ramanthapur,3.0,3.0,2200.0,25000.0,11.363636363636363,Apartment,Semi-Furnished,Hyderabad,Real
ALIND Employees Colony,3.0,2.0,1810.0,30000.0,16.574585635359117,Apartment,Unfurnished,Hyderabad,Real
ARK Homes,3.0,2.0,1510.0,12000.0,7.947019867549669,Independent House,Semi-Furnished,Hyderabad,Real
Kokapet,4.0,2.0,2800.0,50000.0,17.857142857142858,Apartment,Semi-Furnished,Hyderabad,Real
SMR Vinay Iconia,3.0,2.0,1908.0,48000.0,25.157232704402517,Apartment,Semi-Furnished,Hyderabad,Real
Hitech City,3.0,,1705.0,30000.0,17.59530791788856,Apartment,Semi-Furnished,Hyderabad,Real
Papulguda,2.0,,900.0,19000.0,21.11111111111111,Apartment,Unfurnished,Hyderabad,Real
My Home Vihanga,3.0,2.0,1690.0,38000.0,22.485207100591715,Apartment,Semi-Furnished,Hyderabad,Real
Aditya Empress Towers,3.0,1.0,1600.0,35000.0,21.875,Apartment,Semi-Furnished,Hyderabad,Real
Attapur,2.0,1.0,800.0,10000.0,12.5,Apartment,Unfurnished,Hyderabad,Real
Balaji Hills Colony,3.0,2.0,1360.0,14000.0,10.294117647058824,Apartment,Unfurnished,Hyderabad,Real
Green Space Hill Park,2.0,1.0,1200.0,29000.0,24.166666666666668,Apartment,Furnished,Hyderabad,Real
Puppalaguda,2.0,1.0,1200.0,17000.0,14.166666666666666,Apartment,Semi-Furnished,Hyderabad,Real
GK Pride,3.0,1.0,1580.0,16000.0,10.126582278481013,Apartment,Unfurnished,Hyderabad,Real
Mehdipatnam,2.0,,900.0,15000.0,16.666666666666668,Independent House,Unfurnished,Hyderabad,Real
Nizampet,3.0,2.0,1230.0,17000.0,13.821138211382113,Apartment,Unfurnished,Hyderabad,Real
Kavadiguda,2.0,,1050.0,18000.0,17.142857142857142,Independent House,Semi-Furnished,Hyderabad,Real
Gundlapochampally,2.0,,1265.0,9000.0,7.1146245059288535,Apartment,Unfurnished,Hyderabad,Real
East Marredpally,2.0,2.0,1500.0,16000.0,10.666666666666666,Apartment,Semi-Furnished,Hyderabad,Real
Silicon Ridge,3.0,2.0,1400.0,21000.0,15.0,Apartment,Semi-Furnished,Hyderabad,Real
Gks Habitat Royale,3.0,1.0,1550.0,13000.0,8.387096774193548,Apartment,Unfurnished,Hyderabad,Real
Attapur,2.0,1.0,1100.0,17000.0,15.454545454545455,Independent House,Semi-Furnished,Hyderabad,Real
Green Space Residency,2.0,2.0,970.0,17000.0,17.52577319587629,Apartment,Furnished,Hyderabad,Real
Lacasa K Apartments,3.0,1.0,1650.0,40000.0,24.242424242424242,Apartment,Semi-Furnished,Hyderabad,Real
Gopanapalli,3.0,2.0,1630.0,30000.0,18.404907975460123,Apartment,Semi-Furnished,Hyderabad,Real
Kondapur,3.0,1.0,1738.0,48000.0,27.61795166858458,Apartment,Semi-Furnished,Hyderabad,Real
My Home Avatar,3.0,1.0,1834.0,40000.0,21.810250817884405,Apartment,Unfurnished,Hyderabad,Real
Golden Heights Colony,2.0,1.0,1250.0,18000.0,14.4,Apartment,Semi-Furnished,Hyderabad,Real
My Home Avatar,2.0,1.0,1314.0,30000.0,22.831050228310502,Apartment,Semi-Furnished,Hyderabad,Real
Floatilla,3.0,3.0,3250.0,36000.0,11.076923076923077,Apartment,Semi-Furnished,Hyderabad,Real
Ashoka Liviano,4.0,1.0,2200.0,50000.0,22.727272727272727,Apartment,Semi-Furnished,Hyderabad,Real
Modi Emerald Heights,3.0,1.0,1360.0,15000.0,11.029411764705882,Apartment,Semi-Furnished,Hyderabad,Real
Shamshabad,3.0,1.0,1460.0,30000.0,20.54794520547945,Apartment,Furnished,Hyderabad,Real
Royal Colony-Ram Bagh Colony,3.0,2.0,1150.0,18000.0,15.652173913043478,Apartment,Unfurnished,Hyderabad,Real
Anjaneyanagar Colony,3.0,2.0,2000.0,25000.0,12.5,Apartment,Semi-Furnished,Hyderabad,Real
Bairagiguda,2.0,1.0,900.0,9500.0,10.555555555555555,Independent House,Unfurnished,Hyderabad,Real
West Marredpally,3.0,3.0,1600.0,27000.0,16.875,Apartment,Semi-Furnished,Hyderabad,Real
